,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,CATOBAR allows for the recovery of aircraft by using arrestor wires stretched across the deck to bring themselves to a stop in a short distance.,1.0,0.22291001677513123,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,None,0.0,0.13182464241981506,0.0,0.0,0.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,None,1.0,0.0045667290687561035,1.0,1.0,1.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,Traders and trappers made up most unions between Europeans and natives.,1.0,0.22316402196884155,1.0,1.0,1.0
35,What did the Guardian name her?,Artist of the Decade,None.,0.0,0.10315433144569397,0.0,0.0,0.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,motorways and main roads,1.0,0.81688392162323,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,None,1.0,0.1586822271347046,1.0,1.0,1.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,The French constitution states that French alone is the official language of the Republic.,1.0,0.8055773377418518,1.0,1.0,1.0
39,Which BYU building features films in several languages?,International Cinema,None.,1.0,0.06093832850456238,1.0,1.0,1.0
40,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies","Admixture, as many slaves had a highly varied ancestry due to numerous interracial relationships during colonial and early federal history in the United States.",0.0,0.43102216720581055,0.0,0.0,0.0
41,When did the first free election take place?,1492,None,0.0,0.1341489553451538,0.0,0.0,0.0
42,Of what discipline is ethology a branch?,zoology,Ethology is a branch of biology.,0.0,0.5336298942565918,0.0,0.0,0.0
43,What New Haven trial is known to be the longest in the history of Connecticut?,New Haven Black Panther trials,The New Haven Black Panther trials.,1.0,0.9837213754653931,1.0,1.0,1.0
44,In what periodical was the new sovereign status of the Russian Federation first published?,Rossiyskaya Gazeta,None.,1.0,0.06599797308444977,1.0,1.0,1.0
45,The first ship to carry a human through space was called what?,Vostok 1,Vostok 1,1.0,1.0,1.0,1.0,1.0
46,What is an alloy?,a mixture of metals or a mixture of a metal and another element,"An alloy is a mixture of metals or a mixture of a metal and another element, defined by metallic bonding character. It may be a solid solution of metal elements or a mixture of metallic phases.",1.0,0.6739763617515564,1.0,1.0,1.0
47,Where was the Galilean village?,Nazareth,None,0.0,0.08477921038866043,0.0,0.0,0.0
48,A fifth terminal was opened in 2008 for which UK airline?,British Airways,None,0.0,0.1135367676615715,0.0,0.0,0.0
49,Does Florida benefit from taxes,Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary,"Yes, Florida benefits from taxes as they contribute to the state budget which was $70.5 billion in 2010-2011.",1.0,0.7182176113128662,1.0,1.0,1.0
50,What two members of city council were convicted of extortion in 2005?,Ralph Inzunza and Deputy Mayor Michael Zucchet,None,0.0,-0.010457396507263184,0.0,0.0,0.0
51,What can affect how a person is treated?,Perceived sexual orientation,"The microbial organisms targeted, the individual patient, and the pharmacological or toxicological properties of the antibiotic can affect how a person is treated.",0.0,0.01474086008965969,0.0,0.0,0.0
52,What currency did the euro replace in Portugal?,Portuguese Escudo,The euro replaced the Portuguese escudo in Portugal.,1.0,0.6636566519737244,1.0,1.0,1.0
53,"In the fall quarter of 2014, how many students signed up for the university's four graduate divisions?","3,468",None,0.0,0.32233935594558716,0.0,0.0,0.0
54,"Which Chinese suffix means ""area, district, region, ward""?",qū,None,0.0,0.09812261909246445,0.0,0.0,0.0
55,What was another goal of the invasion of Saxony?,to advance into Bohemia where he might set up winter quarters at Austria's expense,Using the Saxon army and treasury to aid the Prussian war effort.,1.0,0.3947829604148865,1.0,1.0,1.0
56,In what year was War on the Floor released?,2001,None,0.0,0.17265766859054565,0.0,0.0,0.0
57,Who was the main opponent that began to argue that the flat canvas did not support Cubism? ,Clement Greenberg.,Clement Greenberg,1.0,0.9964361190795898,1.0,1.0,1.0
58,What are some of the equipment used by both men and women?,"Combat helmets, rucksacks, combat boots","Some examples of equipment used by both men and women include space suits, armor, diving suits, swimsuits, bee-keeper gear, motorcycle leathers, high-visibility clothing, and other pieces of protective clothing.",0.0,0.4846343994140625,0.0,0.0,0.0
59,Where did Charleston's original settlers come from?,Bermuda,"England, Barbados, Bermuda",1.0,0.6399434208869934,1.0,1.0,1.0
60,What ruler's death in 323 BC marks the beginning of the Hellenistic period?,Alexander the Great,Alexander the Great's death,1.0,0.8324819207191467,1.0,1.0,1.0
61,True crows belong to what group?,Corvida,Paraves,1.0,0.029891498386859894,1.0,1.0,1.0
62,From what land did the people of Niutao believe they came?,Samoa,None,0.0,0.1422910839319229,0.0,0.0,0.0
63,What caused the downfall of the downfall of the the original kingdom in Myanmar?,The Pagan Kingdom fell due to the Mongol invasions and several warring states emerged,"The downfall of the original kingdom in Myanmar was caused by repeated Meithei raids, a rebellion in Lan Na, and the founding of the Restored Hanthawaddy Kingdom by the Mon of Lower Myanmar. Additionally, the kingdom was further weakened by the sack of Ava by the Hanthawaddy forces in 1752.",1.0,0.5538873672485352,1.0,1.0,1.0
64,What is the entity that controls the infrastructure of Hyderabad?,The Greater Hyderabad Municipal Corporation (GHMC),Greater Hyderabad Municipal Corporation (GHMC),1.0,0.9761900305747986,1.0,1.0,1.0
65,What was the source of the misinformation concerning damage to the city's boardwalk?,photograph,None,0.0,0.08511187136173248,0.0,0.0,0.0
66,On which corner is the shopping center located?,Fresno and B streets,None,0.0,0.09072040021419525,0.0,0.0,0.0
67,What economist believed that regulations did not keep up with financial innovation?,Paul Krugman,None,0.0,0.04219885915517807,0.0,0.0,0.0
68,What English music group was an inspiration for Kanye West on his second album?,Portishead,None,1.0,0.010584626346826553,1.0,1.0,1.0
69,Why did New York State ban unmarked cars for traffic cops?,it endangered motorists who might be pulled over by people impersonating police officers,New York State banned unmarked cars for traffic cops in 1996 on the grounds that it endangered motorists who might be pulled over by people impersonating police officers.,1.0,0.5422585606575012,1.0,1.0,1.0
70,Kiss' double live album Alive! came out in what year?,1975,None,0.0,0.1692657470703125,0.0,0.0,0.0
71,When did English Freemasonry spread to France?,the 1720s,The English Freemasonry spread to France in the eighteenth century.,0.0,0.3378226161003113,0.0,0.0,0.0
72,How do cardinals sign traditionally?,"by placing the title ""Cardinal"" (abbreviated Card.) after their personal name and before their surname","Traditionally, cardinals sign with the form ""Cardinal [First name] [Surname].""",1.0,0.6698125600814819,1.0,1.0,1.0
73,How many LEGAT offices does the FBI operate?,60,Over 50 legal attachés at United States embassies and consulates.,1.0,0.1283445954322815,1.0,1.0,1.0
74,Who led the group which created the Soviet state?,Vladimir Lenin,Vladimir Lenin led the group which created the Soviet state.,1.0,0.6099432706832886,1.0,1.0,1.0
75,What makes pure metals impure metals?,unwanted impurities,Unwanted impurities make pure metals impure metals.,1.0,0.727238655090332,1.0,1.0,1.0
76,English common law generally said what?,a man gave his status to his children,None,0.0,0.004905415698885918,0.0,0.0,0.0
77,Which industries does West Park give priority to?,"electronic information, biomedicine and precision machinery",None,0.0,-0.06847240030765533,0.0,0.0,0.0
78,The church of Santa Costanza is in what country?,Rome,None,0.0,0.16487239301204681,0.0,0.0,0.0
79,What percentage of Iberians are Sephardic Bnei Anusim?,19.8%,19.8%,1.0,0.9999999403953552,1.0,1.0,1.0
80,"Besides the PAIGC, what is the other major political party?",PRS (Party for Social Renewal),None.,0.0,0.022704098373651505,0.0,0.0,0.0
81,What are the clothing of the Carnival groups full of?,elegance,The clothing of the Carnival groups are full of outlandish costumes.,1.0,0.1366243213415146,1.0,1.0,1.0
82,Who did Madonna play in the role A League Of Their Own?,Mae Mordabito,None,1.0,0.056023675948381424,1.0,1.0,1.0
83,Who was the Duke of Bavaria in 1516?,William IV,None,0.0,0.09064817428588867,0.0,0.0,0.0
84,Who led the Panthers in sacks?,Kawann Short,Defensive tackle Kawann Short led the Panthers in sacks with 11.,1.0,0.5048238635063171,1.0,1.0,1.0
85,How many Irish employees did Dell hire?,"4,500",None,1.0,0.2692861258983612,1.0,1.0,1.0
86,Which archaeologist proposed the idea that the Amazon rainforest couldn't sustain large populations? ,Betty Meggers,None,1.0,-0.03425481915473938,1.0,1.0,1.0
87,What must a teacher show towards the course materials for increase learning?,enthusiasm,Enthusiasm about the subject matter.,1.0,0.653593122959137,1.0,1.0,1.0
88,What is Brazil's Congress called?,Congresso Nacional,None.,0.0,0.054152265191078186,0.0,0.0,0.0
89,What is the native language of St. Barts?,French,None,0.0,0.049543675035238266,0.0,0.0,0.0
90,Only who can handle the ball with his hands?,goalkeeper,None,0.0,0.13083352148532867,0.0,0.0,0.0
91,What locations on Egypt's northern coast are major tourist destinations for recreational tourism?,"Dahab, Ras Sidr, Marsa Alam, Safaga","Sharm el-Sheikh, Hurghada, Luxor, Dahab, Ras Sidr, Marsa Alam, Safaga",1.0,0.8454157710075378,1.0,1.0,1.0
92,What year was NHK Color created?,1972,None,1.0,0.16237661242485046,1.0,1.0,1.0
93,What did the Art of Noise hope to accomplish?,attempt to bring sampled and electronic sounds to the pop mainstream,None,0.0,-0.061263248324394226,0.0,0.0,0.0
94,The university agreed to grant a degree to any graduate of affiliate schoos that did what?,made a grade of A for all four years,The university agreed to grant a degree to any graduate of affiliate schools who made a grade of A for all four years.,1.0,0.4740808606147766,1.0,1.0,1.0
95,What was the main problem with the eMac's CRT?,relatively bulky and somewhat outdated,"The main problem with the eMac's CRT was that it made the computer relatively bulky and somewhat outdated, and its all-in-one construction meant it could not be expanded to meet consumer demand for larger monitors.",1.0,0.15710723400115967,1.0,1.0,1.0
96,What type of secondary schools does Guinea-Bissau have?,general as well as technical,Guinea-Bissau has Portuguese lyceums and technical-vocational secondary schools.,1.0,0.05626444146037102,1.0,1.0,1.0
97,Who operates the Strasbourg tramway?,regional transit company Compagnie des Transports Strasbourgeois,Compagnie des Transports Strasbourgeois (CTS),1.0,0.7191903591156006,1.0,1.0,1.0
98,What provides an account of the science of politics for a wise ruler?,The Arthashastra,The Arthashastra by Chanakya provides an account of the science of politics for a wise ruler.,1.0,0.6675349473953247,1.0,1.0,1.0
99,What was the name of the fired Atari CEO?,Ray Kassar,None,0.0,0.027049243450164795,0.0,0.0,0.0
