,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.",Yes.,1.0,-0.06412816047668457,1.0,1.0,1.0
29,What genre was 'LA 2017'?,futuristic science fiction,None,0.0,0.08773729205131531,0.0,0.0,0.0
30,Who had issues with JFK's proposal?,NAACP,The congressmen had issues with JFK's proposal.,0.0,0.19137242436408997,0.0,0.0,0.0
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,"CATOBAR allows for the deployment of heavy jets with full loadouts, especially on ground-attack missions.",1.0,0.675529956817627,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,The forts were commonly built along the main branch of the river Rhine as part of the limes Germanicus defense line.,0.0,0.03963359445333481,0.0,0.0,0.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,"Borreliaacteria, such as Borrelia burgdorferi, the cause of Lyme disease, is an exception to the single circular chromosome rule as it contains a single linear chromosome.",1.0,0.3789355754852295,1.0,1.0,1.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,First Nation and native Inuit made up most unions between Europeans and natives.,0.0,0.5349524021148682,0.0,0.0,0.0
35,What did the Guardian name her?,Artist of the Decade,None,0.0,0.12995633482933044,0.0,0.0,0.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,None,1.0,0.2568153142929077,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,The Command Module (CM) was intended to land in the Pacific Ocean upon re-entering Earth's atmosphere.,1.0,0.34315428137779236,1.0,1.0,1.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,None.,1.0,0.06753821671009064,1.0,1.0,1.0
39,Which BYU building features films in several languages?,International Cinema,BYU's International Cinema,1.0,0.618169903755188,1.0,1.0,1.0
40,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies","The relationships between male slaveholders, overseers, or master's sons and women slaves have helped genealogists researching slaves.",1.0,0.3862190246582031,1.0,1.0,1.0
41,When did the first free election take place?,1492,The first free election took place in November 1989.,0.0,0.0034377947449684143,0.0,0.0,0.0
42,Of what discipline is ethology a branch?,zoology,Ethology is a branch of biology.,0.0,0.4235524833202362,0.0,0.0,0.0
43,What New Haven trial is known to be the longest in the history of Connecticut?,New Haven Black Panther trials,The New Haven Black Panther trials,1.0,0.9826842546463013,1.0,1.0,1.0
44,In what periodical was the new sovereign status of the Russian Federation first published?,Rossiyskaya Gazeta,The new sovereign status of the Russian Federation was first published in Rossiyskaya Gazeta.,1.0,0.593441903591156,1.0,1.0,1.0
45,The first ship to carry a human through space was called what?,Vostok 1,The first ship to carry a human through space was called Freedom 7.,1.0,0.04736914485692978,1.0,1.0,1.0
46,What is an alloy?,a mixture of metals or a mixture of a metal and another element,"An alloy is a mixture of metals or a mixture of a metal and another element, defined by metallic bonding character.",1.0,0.7774763107299805,1.0,1.0,1.0
47,Where was the Galilean village?,Nazareth,None,0.0,0.18154338002204895,0.0,0.0,0.0
48,A fifth terminal was opened in 2008 for which UK airline?,British Airways,British Airways,1.0,1.0000001192092896,1.0,1.0,1.0
49,Does Florida benefit from taxes,Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary,"Since the 1970s, Florida residents have received more federal monies than they pay in taxes, making the state a net beneficiary.",1.0,0.9274365901947021,1.0,1.0,1.0
50,What two members of city council were convicted of extortion in 2005?,Ralph Inzunza and Deputy Mayor Michael Zucchet,Ralph Inzunza and Deputy Mayor Michael Zucchet,1.0,1.0,1.0,1.0,1.0
51,What can affect how a person is treated?,Perceived sexual orientation,"Sociocultural characteristics such as gender, ethnicity, and age can affect how a person is treated in relation to pain.",0.0,0.16414985060691833,0.0,0.0,0.0
52,What currency did the euro replace in Portugal?,Portuguese Escudo,The euro replaced the Portuguese Escudo in Portugal.,1.0,0.6934979557991028,1.0,1.0,1.0
53,"In the fall quarter of 2014, how many students signed up for the university's four graduate divisions?","3,468",None,0.0,0.035529643297195435,0.0,0.0,0.0
54,"Which Chinese suffix means ""area, district, region, ward""?",qū,None,0.0,0.3047703504562378,0.0,0.0,0.0
55,What was another goal of the invasion of Saxony?,to advance into Bohemia where he might set up winter quarters at Austria's expense,Using the Saxon army and treasury to aid the Prussian war effort.,1.0,0.30563801527023315,1.0,1.0,1.0
56,In what year was War on the Floor released?,2001,None,0.0,0.2541511058807373,0.0,0.0,0.0
57,Who was the main opponent that began to argue that the flat canvas did not support Cubism? ,Clement Greenberg.,Daniel Robbins,1.0,0.24968627095222473,1.0,1.0,1.0
58,What are some of the equipment used by both men and women?,"Combat helmets, rucksacks, combat boots","Combat helmets, rucksacks, combat boots, and flak jackets are some of the equipment used by both men and women in the Canadian Armed Forces.",1.0,0.7333482503890991,1.0,1.0,1.0
59,Where did Charleston's original settlers come from?,Bermuda,"The first settlers primarily came from England, its Caribbean colony of Barbados, and its Atlantic colony of Bermuda.",1.0,0.46074846386909485,1.0,1.0,1.0
60,What ruler's death in 323 BC marks the beginning of the Hellenistic period?,Alexander the Great,The death of Alexander the Great in 323 BC marks the beginning of the Hellenistic period.,1.0,0.561884880065918,1.0,1.0,1.0
61,True crows belong to what group?,Corvida,"Crows belong to the group of birds known as passerines, sometimes known as perching birds.",1.0,0.12578332424163818,1.0,1.0,1.0
62,From what land did the people of Niutao believe they came?,Samoa,None,0.0,0.22741533815860748,0.0,0.0,0.0
63,What caused the downfall of the downfall of the the original kingdom in Myanmar?,The Pagan Kingdom fell due to the Mongol invasions and several warring states emerged,"The downfall of the original kingdom in Myanmar was caused by the dramatic decline in agricultural production due to international rice prices, the destruction of major government buildings, oil wells, and mines during World War II, and the extensive bombing of Myanmar by both sides during the war.",1.0,0.4479835629463196,1.0,1.0,1.0
64,What is the entity that controls the infrastructure of Hyderabad?,The Greater Hyderabad Municipal Corporation (GHMC),The Greater Hyderabad Municipal Corporation (GHMC) controls the infrastructure of Hyderabad.,1.0,0.8892562389373779,1.0,1.0,1.0
65,What was the source of the misinformation concerning damage to the city's boardwalk?,photograph,"The source of the misinformation concerning damage to the city's boardwalk was a widely circulated photograph of a damaged section of the Boardwalk that was slated for repairs before the storm, along with incorrect news reports at the time of the disaster.",1.0,0.33100461959838867,1.0,1.0,1.0
66,On which corner is the shopping center located?,Fresno and B streets,Broadway Boulevard and Country Club Road,0.0,0.5046855807304382,0.0,0.0,0.0
67,What economist believed that regulations did not keep up with financial innovation?,Paul Krugman,Treasury Secretary Timothy Geithner,1.0,0.35490280389785767,1.0,1.0,1.0
68,What English music group was an inspiration for Kanye West on his second album?,Portishead,None,1.0,0.12897686660289764,1.0,1.0,1.0
69,Why did New York State ban unmarked cars for traffic cops?,it endangered motorists who might be pulled over by people impersonating police officers,New York State banned unmarked cars for traffic cops in 1996 on the grounds that it endangered motorists who might be pulled over by people impersonating police officers.,1.0,0.6026602983474731,1.0,1.0,1.0
70,Kiss' double live album Alive! came out in what year?,1975,None,1.0,0.2789701521396637,1.0,1.0,1.0
71,When did English Freemasonry spread to France?,the 1720s,In the eighteenth century.,0.0,0.6547305583953857,0.0,0.0,0.0
72,How do cardinals sign traditionally?,"by placing the title ""Cardinal"" (abbreviated Card.) after their personal name and before their surname","In accordance with tradition, cardinals sign by placing the title ""Cardinal"" (abbreviated Card.) after their personal name and before their surname.",1.0,0.8967598676681519,1.0,1.0,1.0
73,How many LEGAT offices does the FBI operate?,60,Over 50 legal attachés at United States embassies and consulates.,1.0,0.2576638460159302,1.0,1.0,1.0
74,Who led the group which created the Soviet state?,Vladimir Lenin,Vladimir Lenin led the group which created the Soviet state.,1.0,0.6427873373031616,1.0,1.0,1.0
75,What makes pure metals impure metals?,unwanted impurities,"Impure metals are considered impure due to the presence of unwanted impurities, such as elements that are not desired in the metal. These impurities can be found in the base metals or solutes, or they may be introduced during the alloying process.",1.0,0.49982503056526184,1.0,1.0,1.0
76,English common law generally said what?,a man gave his status to his children,English common law generally said that the common law of England (particularly judge-made law) is the law of the state to the extent that it is not repugnant to domestic law or indigenous conditions.,0.0,0.07933361083269119,0.0,0.0,0.0
77,Which industries does West Park give priority to?,"electronic information, biomedicine and precision machinery","Electronic information, biomedicine, and precision machinery",1.0,0.9968380928039551,1.0,1.0,1.0
78,The church of Santa Costanza is in what country?,Rome,None,0.0,0.23760773241519928,0.0,0.0,0.0
79,What percentage of Iberians are Sephardic Bnei Anusim?,19.8%,None,1.0,0.2544945776462555,1.0,1.0,1.0
80,"Besides the PAIGC, what is the other major political party?",PRS (Party for Social Renewal),None,0.0,0.07254228740930557,0.0,0.0,0.0
81,What are the clothing of the Carnival groups full of?,elegance,Outlandish costumes or cross-dressing,1.0,0.2856856882572174,1.0,1.0,1.0
82,Who did Madonna play in the role A League Of Their Own?,Mae Mordabito,None,1.0,0.13798777759075165,1.0,1.0,1.0
83,Who was the Duke of Bavaria in 1516?,William IV,None,0.0,0.21867331862449646,0.0,0.0,0.0
84,Who led the Panthers in sacks?,Kawann Short,Kony Ealy led the Panthers in sacks.,1.0,0.20624032616615295,1.0,1.0,1.0
85,How many Irish employees did Dell hire?,"4,500","Dell once employed about 4,500 employees in Ireland.",1.0,0.3077039420604706,1.0,1.0,1.0
86,Which archaeologist proposed the idea that the Amazon rainforest couldn't sustain large populations? ,Betty Meggers,None.,1.0,0.13583922386169434,1.0,1.0,1.0
87,What must a teacher show towards the course materials for increase learning?,enthusiasm,Teachers must show a deep understanding and familiarity with the course materials in order to increase learning.,1.0,0.143514022231102,1.0,1.0,1.0
88,What is Brazil's Congress called?,Congresso Nacional,Brazil's Congress is called the Brazilian Federal Senate.,1.0,0.5010949373245239,1.0,1.0,1.0
89,What is the native language of St. Barts?,French,French,1.0,1.0,1.0,1.0,1.0
90,Only who can handle the ball with his hands?,goalkeeper,Goalkeepers.,1.0,0.7621523141860962,1.0,1.0,1.0
91,What locations on Egypt's northern coast are major tourist destinations for recreational tourism?,"Dahab, Ras Sidr, Marsa Alam, Safaga","Sharm el-Sheikh, Hurghada, Luxor, Dahab, Ras Sidr, Marsa Alam, Safaga.",1.0,0.7508482933044434,1.0,1.0,1.0
92,What year was NHK Color created?,1972,NHK Color was created in 1972.,1.0,0.3477129340171814,1.0,1.0,1.0
93,What did the Art of Noise hope to accomplish?,attempt to bring sampled and electronic sounds to the pop mainstream,None,0.0,0.08352266252040863,0.0,0.0,0.0
94,The university agreed to grant a degree to any graduate of affiliate schoos that did what?,made a grade of A for all four years,The university agreed to grant a degree to any graduate of affiliate schools who made a grade of A for all four years.,1.0,0.6076356172561646,1.0,1.0,1.0
95,What was the main problem with the eMac's CRT?,relatively bulky and somewhat outdated,The main problem with the eMac's CRT was that it made the computer relatively bulky and somewhat outdated.,1.0,0.3237331807613373,1.0,1.0,1.0
96,What type of secondary schools does Guinea-Bissau have?,general as well as technical,"Guinea-Bissau has several secondary schools, including general as well as technical secondary schools.",1.0,0.3848467171192169,1.0,1.0,1.0
97,Who operates the Strasbourg tramway?,regional transit company Compagnie des Transports Strasbourgeois,CTS operated the Strasbourg tramway.,1.0,0.6313807964324951,1.0,1.0,1.0
98,What provides an account of the science of politics for a wise ruler?,The Arthashastra,"The Arthaśāstra, an ancient Indian treatise on statecraft, economic policy, and military strategy by Kautilya and Viṣhṇugupta.",0.0,0.668228030204773,0.0,0.0,0.0
99,What was the name of the fired Atari CEO?,Ray Kassar,Ray Kassar,1.0,1.0000001192092896,1.0,1.0,1.0
