,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
25,Who supported the reaction against the government?,Durango,"The workers, peasants, and petty bourgeois supported the reaction against the government.",0.0,-0.08740938454866409,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,None,1.0,0.17372530698776245,1.0,1.0,1.0
27,What influences role of minority leader?,personality and contextual factors,"Personality and contextual factors, such as the size and cohesion of the minority party, whether his or her party controls the White House, the general political climate in the House, and the controversy associated with the legislative agenda.",1.0,0.4391491115093231,1.0,1.0,1.0
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.","Yes, the rainforest still managed to thrive during the glacial periods, allowing for the survival and evolution of a broad diversity of species.",1.0,0.8921372890472412,1.0,1.0,1.0
29,What genre was 'LA 2017'?,futuristic science fiction,None,0.0,0.1251610815525055,0.0,0.0,0.0
30,Who had issues with JFK's proposal?,NAACP,The NAACP had issues with JFK's proposal.,1.0,0.5305023789405823,1.0,1.0,1.0
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,"CATOBAR allows for the deployment of heavy jets with full loadouts, especially on ground-attack missions.",1.0,0.5708506107330322,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,None,0.0,0.18170899152755737,0.0,0.0,0.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,Borrelia burgdorferi,1.0,0.5309512615203857,1.0,1.0,1.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,Africans and Indigenous Americans made up most unions between Europeans and natives.,1.0,0.5995653867721558,1.0,1.0,1.0
35,What did the Guardian name her?,Artist of the Decade,None,1.0,0.14542528986930847,1.0,1.0,1.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,The lower regions and larger towns of the Alps are well-served by transportation networks.,1.0,0.3783208131790161,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,None,0.0,0.21602359414100647,0.0,0.0,0.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,French alone is the official language of the Republic.,1.0,0.8152211308479309,1.0,1.0,1.0
39,Which BYU building features films in several languages?,International Cinema,BYU's International Cinema,1.0,0.6834436058998108,1.0,1.0,1.0
40,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies",The availability of censuses that identify slaves by name after the American Civil War.,1.0,0.6310989856719971,1.0,1.0,1.0
41,When did the first free election take place?,1492,The first free election took place in Kenya in 1992.,0.0,0.286624014377594,0.0,0.0,0.0
42,Of what discipline is ethology a branch?,zoology,Ethnology,0.0,0.508810818195343,0.0,0.0,0.0
43,What New Haven trial is known to be the longest in the history of Connecticut?,New Haven Black Panther trials,"The New Haven Black Panther trials, which took place in 1970, are known to be the largest and longest trials in Connecticut history.",1.0,0.7001416683197021,1.0,1.0,1.0
44,In what periodical was the new sovereign status of the Russian Federation first published?,Rossiyskaya Gazeta,Rossiyskaya Gazeta,1.0,1.0,1.0,1.0,1.0
45,The first ship to carry a human through space was called what?,Vostok 1,Freedom 7,1.0,0.3289055824279785,1.0,1.0,1.0
46,What is an alloy?,a mixture of metals or a mixture of a metal and another element,"An alloy is a mixture of metals or a mixture of a metal and another element, defined by metallic bonding character.",1.0,0.7202520966529846,1.0,1.0,1.0
47,Where was the Galilean village?,Nazareth,None,0.0,0.18965567648410797,0.0,0.0,0.0
48,A fifth terminal was opened in 2008 for which UK airline?,British Airways,British Airways,1.0,1.0000001192092896,1.0,1.0,1.0
49,Does Florida benefit from taxes,Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary,Florida does not benefit from state income tax as it is one of seven states in the United States that does not have a state income tax.,1.0,0.6252428293228149,1.0,1.0,1.0
50,What two members of city council were convicted of extortion in 2005?,Ralph Inzunza and Deputy Mayor Michael Zucchet,Ralph Inzunza and Deputy Mayor Michael Zucchet were convicted of extortion in 2005.,1.0,0.624759316444397,1.0,1.0,1.0
51,What can affect how a person is treated?,Perceived sexual orientation,"Socioeconomic factors, racial discrimination, racist mindsets, social stratification, social institutions, communication, relationships, peer groups",0.0,0.22923068702220917,0.0,0.0,0.0
52,What currency did the euro replace in Portugal?,Portuguese Escudo,The euro replaced the Portuguese Escudo.,1.0,0.5898447036743164,1.0,1.0,1.0
53,"In the fall quarter of 2014, how many students signed up for the university's four graduate divisions?","3,468",None,0.0,-0.012574898079037666,0.0,0.0,0.0
54,"Which Chinese suffix means ""area, district, region, ward""?",qū,区 (qū),1.0,0.487140029668808,1.0,1.0,1.0
55,What was another goal of the invasion of Saxony?,to advance into Bohemia where he might set up winter quarters at Austria's expense,One of the other goals of the invasion of Saxony was to advance into Bohemia where Frederick II might set up winter quarters at Austria's expense.,1.0,0.7852432727813721,1.0,1.0,1.0
56,In what year was War on the Floor released?,2001,None,0.0,0.21657732129096985,0.0,0.0,0.0
57,Who was the main opponent that began to argue that the flat canvas did not support Cubism? ,Clement Greenberg.,Clement Greenberg,1.0,0.9689548015594482,1.0,1.0,1.0
58,What are some of the equipment used by both men and women?,"Combat helmets, rucksacks, combat boots",None,0.0,0.0951576977968216,0.0,0.0,0.0
59,Where did Charleston's original settlers come from?,Bermuda,"The original settlers of Charleston primarily came from England, its Caribbean colony of Barbados, and its Atlantic colony of Bermuda.",1.0,0.28875136375427246,1.0,1.0,1.0
60,What ruler's death in 323 BC marks the beginning of the Hellenistic period?,Alexander the Great,The death of Alexander the Great in 323 BC marks the beginning of the Hellenistic period.,1.0,0.5219495296478271,1.0,1.0,1.0
61,True crows belong to what group?,Corvida,True crows belong to the corvid group.,1.0,0.39243367314338684,1.0,1.0,1.0
62,From what land did the people of Niutao believe they came?,Samoa,None,0.0,0.23847578465938568,0.0,0.0,0.0
63,What caused the downfall of the downfall of the the original kingdom in Myanmar?,The Pagan Kingdom fell due to the Mongol invasions and several warring states emerged,"The downfall of the original kingdom in Myanmar was caused by the death of Bayinnaung in 1581, leading to the complete collapse of the empire by 1599.",1.0,0.5323712229728699,1.0,1.0,1.0
64,What is the entity that controls the infrastructure of Hyderabad?,The Greater Hyderabad Municipal Corporation (GHMC),The Greater Hyderabad Municipal Corporation (GHMC) controls the infrastructure of Hyderabad.,1.0,0.8458091020584106,1.0,1.0,1.0
65,What was the source of the misinformation concerning damage to the city's boardwalk?,photograph,"The source of the misinformation concerning damage to the city's boardwalk was a widely circulated photograph of a damaged section of the Boardwalk that was slated for repairs before the storm, along with incorrect news reports at the time of the disaster.",1.0,0.20749223232269287,1.0,1.0,1.0
66,On which corner is the shopping center located?,Fresno and B streets,Intersection of Broadway Boulevard and Country Club Road,0.0,0.5167949199676514,0.0,0.0,0.0
67,What economist believed that regulations did not keep up with financial innovation?,Paul Krugman,Treasury Secretary Timothy Geithner,1.0,0.46916741132736206,1.0,1.0,1.0
68,What English music group was an inspiration for Kanye West on his second album?,Portishead,Portishead,1.0,1.0000001192092896,1.0,1.0,1.0
69,Why did New York State ban unmarked cars for traffic cops?,it endangered motorists who might be pulled over by people impersonating police officers,New York State banned unmarked cars for traffic cops because it was believed that it endangered motorists who might be pulled over by people impersonating police officers.,1.0,0.6088547706604004,1.0,1.0,1.0
70,Kiss' double live album Alive! came out in what year?,1975,None.,1.0,0.1790085732936859,1.0,1.0,1.0
71,When did English Freemasonry spread to France?,the 1720s,The English Freemasonry spread to France in the eighteenth century.,1.0,0.4641827642917633,1.0,1.0,1.0
72,How do cardinals sign traditionally?,"by placing the title ""Cardinal"" (abbreviated Card.) after their personal name and before their surname","They sign by placing the title ""Cardinal"" (abbreviated Card.) after their personal name and before their surname, as ""John Card(inal) Doe"" or, in Latin, ""Ioannes Card(inalis) Cognomen"".",1.0,0.7845480442047119,1.0,1.0,1.0
73,How many LEGAT offices does the FBI operate?,60,60,1.0,0.9999999403953552,1.0,1.0,1.0
74,Who led the group which created the Soviet state?,Vladimir Lenin,Vladimir Lenin led the group which created the Soviet state.,1.0,0.722906231880188,1.0,1.0,1.0
75,What makes pure metals impure metals?,unwanted impurities,Unwanted impurities make pure metals impure metals.,1.0,0.6398583650588989,1.0,1.0,1.0
76,English common law generally said what?,a man gave his status to his children,"English common law generally said that the law was the golden met-wand and measure to try the causes of the subjects, protecting safety and peace, with the King being under God and the law.",0.0,0.19155806303024292,0.0,0.0,0.0
77,Which industries does West Park give priority to?,"electronic information, biomedicine and precision machinery","electronic information, biomedicine, and precision machinery",1.0,0.9879457950592041,1.0,1.0,1.0
78,The church of Santa Costanza is in what country?,Rome,None,0.0,0.19725142419338226,0.0,0.0,0.0
79,What percentage of Iberians are Sephardic Bnei Anusim?,19.8%,None,1.0,0.3005492687225342,1.0,1.0,1.0
80,"Besides the PAIGC, what is the other major political party?",PRS (Party for Social Renewal),None.,0.0,0.1435578465461731,0.0,0.0,0.0
81,What are the clothing of the Carnival groups full of?,elegance,"The clothing of the Carnival groups are full of elegant, bright dresses.",1.0,0.31854116916656494,1.0,1.0,1.0
82,Who did Madonna play in the role A League Of Their Own?,Mae Mordabito,Madonna played Mae Mordabito in the role A League of Their Own.,1.0,0.5495583415031433,1.0,1.0,1.0
83,Who was the Duke of Bavaria in 1516?,William IV,None,0.0,0.0842767059803009,0.0,0.0,0.0
84,Who led the Panthers in sacks?,Kawann Short,Kawann Short led the Panthers in sacks with 11.,1.0,0.3731738030910492,1.0,1.0,1.0
85,How many Irish employees did Dell hire?,"4,500","Dell hired about 4,500 employees in Ireland.",1.0,0.348205029964447,1.0,1.0,1.0
86,Which archaeologist proposed the idea that the Amazon rainforest couldn't sustain large populations? ,Betty Meggers,Betty Meggers,1.0,1.0,1.0,1.0,1.0
87,What must a teacher show towards the course materials for increase learning?,enthusiasm,Enthusiasm.,1.0,0.9284549355506897,1.0,1.0,1.0
88,What is Brazil's Congress called?,Congresso Nacional,None,1.0,0.16560161113739014,1.0,1.0,1.0
89,What is the native language of St. Barts?,French,French,1.0,1.0,1.0,1.0,1.0
90,Only who can handle the ball with his hands?,goalkeeper,The goalkeepers are the only players allowed to touch the ball with their hands or arms while it is in play.,1.0,0.4972202181816101,1.0,1.0,1.0
91,What locations on Egypt's northern coast are major tourist destinations for recreational tourism?,"Dahab, Ras Sidr, Marsa Alam, Safaga","Sharm el-Sheikh, Hurghada, Luxor, Dahab, Ras Sidr, Marsa Alam, Safaga, and the northern coast of the Mediterranean.",1.0,0.6515246033668518,1.0,1.0,1.0
92,What year was NHK Color created?,1972,1972,1.0,1.0,1.0,1.0,1.0
93,What did the Art of Noise hope to accomplish?,attempt to bring sampled and electronic sounds to the pop mainstream,The Art of Noise hoped to bring sampled and electronic sounds to the pop mainstream.,1.0,0.7109817266464233,1.0,1.0,1.0
94,The university agreed to grant a degree to any graduate of affiliate schoos that did what?,made a grade of A for all four years,None,1.0,0.19577857851982117,1.0,1.0,1.0
95,What was the main problem with the eMac's CRT?,relatively bulky and somewhat outdated,None,0.0,0.018736550584435463,0.0,0.0,0.0
96,What type of secondary schools does Guinea-Bissau have?,general as well as technical,Guinea-Bissau has general as well as technical secondary schools.,1.0,0.3979390859603882,1.0,1.0,1.0
97,Who operates the Strasbourg tramway?,regional transit company Compagnie des Transports Strasbourgeois,Compagnie des Transports Strasbourgeois (CTS),1.0,0.8048175573348999,1.0,1.0,1.0
98,What provides an account of the science of politics for a wise ruler?,The Arthashastra,The Arthaśāstra by Kautilya provides an account of the science of politics for a wise ruler.,1.0,0.5200507044792175,1.0,1.0,1.0
99,What was the name of the fired Atari CEO?,Ray Kassar,Ray Kassar,1.0,1.0,1.0,1.0,1.0
