,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
42,Of what discipline is ethology a branch?,zoology,Anthropology,0.0,0.4126930832862854,0.0,0.0,0.0
43,What New Haven trial is known to be the longest in the history of Connecticut?,New Haven Black Panther trials,Black Panther trials,1.0,0.8271691799163818,1.0,1.0,1.0
44,In what periodical was the new sovereign status of the Russian Federation first published?,Rossiyskaya Gazeta,All-Russian Congress of Soviets,1.0,0.4030226767063141,1.0,1.0,1.0
45,The first ship to carry a human through space was called what?,Vostok 1,Apollo 11,1.0,0.1776115596294403,1.0,1.0,1.0
46,What is an alloy?,a mixture of metals or a mixture of a metal and another element,a mixture of either pure or fairly pure chemical elements,1.0,0.6807699203491211,1.0,1.0,1.0
47,Where was the Galilean village?,Nazareth,Judea,0.0,0.09861161559820175,0.0,0.0,0.0
48,A fifth terminal was opened in 2008 for which UK airline?,British Airways,Comair,0.0,0.14495578408241272,0.0,0.0,0.0
49,Does Florida benefit from taxes,Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary,There are likely to be additional challenges to the map and districts,1.0,0.017784086987376213,1.0,1.0,1.0
50,What two members of city council were convicted of extortion in 2005?,Ralph Inzunza and Deputy Mayor Michael Zucchet,"four innocent men to be convicted of the March 1965 gangland murder of Edward ""Teddy"" Deegan in order to protect Vincent Flemmi, an FBI informant. Three",0.0,0.1679040491580963,0.0,0.0,0.0
51,What can affect how a person is treated?,Perceived sexual orientation,antibiotics,0.0,-0.07206259667873383,0.0,0.0,0.0
52,What currency did the euro replace in Portugal?,Portuguese Escudo,Portuguese Escudo,1.0,0.9999998807907104,1.0,1.0,1.0
53,"In the fall quarter of 2014, how many students signed up for the university's four graduate divisions?","3,468","2,138",0.0,0.6751948595046997,0.0,0.0,0.0
54,"Which Chinese suffix means ""area, district, region, ward""?",qū,jianmin,0.0,0.15373364090919495,0.0,0.0,0.0
55,What was another goal of the invasion of Saxony?,to advance into Bohemia where he might set up winter quarters at Austria's expense,to advance into Bohemia,1.0,0.6454458236694336,1.0,1.0,1.0
56,In what year was War on the Floor released?,2001,1987,0.0,0.5079705715179443,0.0,0.0,0.0
57,Who was the main opponent that began to argue that the flat canvas did not support Cubism? ,Clement Greenberg.,"Picasso's new painting developed."" Between 1905 and 1908, a conscious search for a new style caused rapid changes in art across France, Germany, Holland, Italy, and Russia. The Impressionists had used a double point of view, and both Les Nabis and the Symbolists",1.0,0.024827662855386734,1.0,1.0,1.0
58,What are some of the equipment used by both men and women?,"Combat helmets, rucksacks, combat boots",a pair of sliding metal calipers,0.0,0.2058766931295395,0.0,0.0,0.0
59,Where did Charleston's original settlers come from?,Bermuda,England,1.0,0.09859498590230942,1.0,1.0,1.0
60,What ruler's death in 323 BC marks the beginning of the Hellenistic period?,Alexander the Great,Alexander the Great,1.0,1.0,1.0,1.0,1.0
61,True crows belong to what group?,Corvida,Maniraptora,1.0,0.199751079082489,1.0,1.0,1.0
62,From what land did the people of Niutao believe they came?,Samoa,Samoa,1.0,0.9999998807907104,1.0,1.0,1.0
63,What caused the downfall of the downfall of the the original kingdom in Myanmar?,The Pagan Kingdom fell due to the Mongol invasions and several warring states emerged,Mongol invasions,1.0,0.3813956379890442,1.0,1.0,1.0
64,What is the entity that controls the infrastructure of Hyderabad?,The Greater Hyderabad Municipal Corporation (GHMC),Hyderabad Metropolitan Development Authority (HMDA).,1.0,0.720783531665802,1.0,1.0,1.0
65,What was the source of the misinformation concerning damage to the city's boardwalk?,photograph,a widely circulated photograph,1.0,0.4859699606895447,1.0,1.0,1.0
66,On which corner is the shopping center located?,Fresno and B streets,East 149th Street,0.0,0.36233606934547424,0.0,0.0,0.0
67,What economist believed that regulations did not keep up with financial innovation?,Paul Krugman,Nicholas Kaldor,0.0,0.21261176466941833,0.0,0.0,0.0
68,What English music group was an inspiration for Kanye West on his second album?,Portishead,"Deric ""D-Dot"" Angelettie",1.0,0.20811237394809723,1.0,1.0,1.0
69,Why did New York State ban unmarked cars for traffic cops?,it endangered motorists who might be pulled over by people impersonating police officers,it endangered motorists who might be pulled over by people impersonating police officers,1.0,1.0000001192092896,1.0,1.0,1.0
70,Kiss' double live album Alive! came out in what year?,1975,2016,0.0,0.45433279871940613,0.0,0.0,0.0
71,When did English Freemasonry spread to France?,the 1720s,eighteenth century,0.0,0.5113911628723145,0.0,0.0,0.0
72,How do cardinals sign traditionally?,"by placing the title ""Cardinal"" (abbreviated Card.) after their personal name and before their surname",pivot' or 'hinge') was first used in late antiquity to designate a bishop or priest who was incorporated into a church for which he had not originally been ordained,1.0,0.08518758416175842,1.0,1.0,1.0
73,How many LEGAT offices does the FBI operate?,60,J. Edgar Hoover Building,1.0,0.03228002041578293,1.0,1.0,1.0
74,Who led the group which created the Soviet state?,Vladimir Lenin,Vladimir Lenin,1.0,1.0000001192092896,1.0,1.0,1.0
75,What makes pure metals impure metals?,unwanted impurities,unwanted impurities,1.0,1.0,1.0,1.0,1.0
76,English common law generally said what?,a man gave his status to his children,contradict the civil law,0.0,0.17969337105751038,0.0,0.0,0.0
77,Which industries does West Park give priority to?,"electronic information, biomedicine and precision machinery","electronic information, biomedicine and precision machinery",1.0,1.0,1.0,1.0,1.0
78,The church of Santa Costanza is in what country?,Rome,Sicily,1.0,0.09758854657411575,1.0,1.0,1.0
79,What percentage of Iberians are Sephardic Bnei Anusim?,19.8%,19.8%,1.0,1.0,1.0,1.0,1.0
80,"Besides the PAIGC, what is the other major political party?",PRS (Party for Social Renewal),"United Australia Party (UAP). More broadly, the Liberal Party's ideological ancestry stretched back to the anti-Labor groupings in the first Commonwealth parliaments. The Commonwealth Liberal Party was a fusion of the Free Trade Party and the Protectionist Party",0.0,0.271822452545166,0.0,0.0,0.0
81,What are the clothing of the Carnival groups full of?,elegance,"decorative gowns, gloves, masks and headdresses",1.0,0.11475972831249237,1.0,1.0,1.0
82,Who did Madonna play in the role A League Of Their Own?,Mae Mordabito,violin teacher,1.0,0.1318625807762146,1.0,1.0,1.0
83,Who was the Duke of Bavaria in 1516?,William IV,Louis the German,0.0,0.2788088321685791,0.0,0.0,0.0
84,Who led the Panthers in sacks?,Kawann Short,DeMarcus Ware,1.0,-0.005205313675105572,1.0,1.0,1.0
85,How many Irish employees did Dell hire?,"4,500",1200,1.0,0.20471711456775665,1.0,1.0,1.0
86,Which archaeologist proposed the idea that the Amazon rainforest couldn't sustain large populations? ,Betty Meggers,"agriculture needed to host a larger population. However, recent anthropological findings have suggested that the region was actually densely populated",1.0,0.002149060368537903,1.0,1.0,1.0
87,What must a teacher show towards the course materials for increase learning?,enthusiasm,friendly and supportive,1.0,0.19885876774787903,1.0,1.0,1.0
88,What is Brazil's Congress called?,Congresso Nacional,Congresso Nacional,1.0,1.0,1.0,1.0,1.0
89,What is the native language of St. Barts?,French,English,1.0,0.3989463150501251,1.0,1.0,1.0
90,Only who can handle the ball with his hands?,goalkeeper,the ball carrier,0.0,0.21858495473861694,0.0,0.0,0.0
91,What locations on Egypt's northern coast are major tourist destinations for recreational tourism?,"Dahab, Ras Sidr, Marsa Alam, Safaga","Sharm el-Sheikh (or City of Peace), Hurghada, Luxor (known as world's greatest open-air museum/ or City of the ⅓ of world monuments), Dahab, Ras Sidr, Marsa Alam, Safaga",1.0,0.4327854812145233,1.0,1.0,1.0
92,What year was NHK Color created?,1972,1953,1.0,0.5383831262588501,1.0,1.0,1.0
93,What did the Art of Noise hope to accomplish?,attempt to bring sampled and electronic sounds to the pop mainstream,bring sampled and electronic sounds to the pop mainstream,1.0,0.8806843757629395,1.0,1.0,1.0
94,The university agreed to grant a degree to any graduate of affiliate schoos that did what?,made a grade of A for all four years,made a grade of A for all four years,1.0,1.0,1.0,1.0,1.0
95,What was the main problem with the eMac's CRT?,relatively bulky and somewhat outdated,relatively bulky and somewhat outdated,1.0,1.0,1.0,1.0,1.0
96,What type of secondary schools does Guinea-Bissau have?,general as well as technical,"Guinea-Bissau is a member of the United Nations, African Union, Economic Community of West African States, Organisation of Islamic Cooperation, the Latin Union, Community of Portuguese Language Countries, La Francophonie and the South Atlantic Peace and Cooperation Zone",1.0,0.012652892619371414,1.0,1.0,1.0
97,Who operates the Strasbourg tramway?,regional transit company Compagnie des Transports Strasbourgeois,The CTS,1.0,0.25649532675743103,1.0,1.0,1.0
98,What provides an account of the science of politics for a wise ruler?,The Arthashastra,ilah,1.0,0.2817261219024658,1.0,1.0,1.0
99,What was the name of the fired Atari CEO?,Ray Kassar,Ilyas Kashmiri,0.0,0.27861288189888,0.0,0.0,0.0
