questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What seeks to limit the use of polysyllabic characters?,CPC,"Lipopolysaccharides, also called endotoxins, are composed of polysaccharides and lipid A that is responsible for much of the toxicity of gram-negative bacteria. Most bacteria have the gram-negative cell wall, and only the Firmicutes and Actinobacteria have the alternative gram-positive arrangement. These two groups were previously known as the low G+C and high G+C Gram-positive bacteria, respectively. These differences in structure can produce differences in antibiotic susceptibility; for instance, vancomycin can kill only gram-positive bacteria and is ineffective against gram-negative pathogens, such as Haemophilus influenzae or Pseudomonas aeruginosa. If the bacterial cell wall is entirely removed, it is called a protoplast, whereas if it is partially removed, it is called a spheroplast. β-Lactam antibiotics, such as penicillin, inhibit the formation of peptidoglycan cross-links in the bacterial cell wall. The enzyme lysozyme, found in human tears, also digests the cell wall of bacteria and is the body's main defense against eye infections.
Acid-fast bacteria, such as Mycobacteria, are resistant to decolorization by acids during staining procedures","[Document(id=a93c46780eb38a9b8195740a871eddb9a85c482bf7d89e72d9247c60999aed47, content: ' Lipopolysaccharides, also called endotoxins, are composed of polysaccharides and lipid A that is re...', meta: {'name': 'Bacteria', 'source_id': 'f8e9d365bfe51780e8f42f3a07cb69dd7a6df46bc7c67030d0853bdb13eeb390', 'page_number': 1}, score: 67.86823728702234)]",0.0,0.16699571907520294,0.0,0.0,0.0
In what courts can federal habeas corpus suits be brought?,federal,U.S. Supreme Court,"[Document(id=0873fa8d65c3e4c79ab76cb82a1993eaa21b936e8eec702597e4a3f9bfd65150, content: ' The UNC-Chapel Hill lawsuit alleges discrimination against white and Asian students, while the Harv...', meta: {'name': 'Affirmative_action_in_the_United_States', 'source_id': 'b7156a1660bb591e3abb4460028a7922c063ba8962ad6dce11678f8b08c5cdcb', 'page_number': 1}, score: 101.02615234422868)]",0.0,0.22163008153438568,0.0,0.0,0.0
What did Whitehead consider himself as a philosopher? ,rank amateur,rank amateur,"[Document(id=a022efa8ed739794e05008dbe44d9b83a87fc4f4b7a609ec096b9d437bc5089e, content: ' For Whitehead, education should be the exact opposite of the multidisciplinary, value-free school m...', meta: {'name': 'Alfred_North_Whitehead', 'source_id': '8117b81ebe7588c941510f73f8227e3b220b56755171cb0418fdd752bb385bda', 'page_number': 1}, score: 210.30818292133372)]",1.0,1.0,1.0,1.0,1.0
What condition does a person have to meet to  be allowed by law on a coin?,deceased,treason,"[Document(id=2954716cf85dfc3cbc22e1e1bbc015e2ddc7abd27427ced8fbf5d44180b2afe2, content: '.."" The Deuteronomic social vision may have influenced opponents of the divine right of kings, inclu...', meta: {'name': 'Rule_of_law', 'source_id': '58b9477525cf8e214cd9a236fe22cc9bfe5e78fda6e2b41433bdb3e30f99d3d2', 'page_number': 1}, score: 75.94772194895006)]",0.0,0.054149776697158813,0.0,0.0,0.0
Which region of the US experiences rain year round?,Pacific Northwest,Southwest,"[Document(id=ef3b24124d6963ab10e31070a01eb903bae0b374f75f9a00a0da61890b7d8c80, content: ', tornadoes are more common than anywhere else on Earth and touch down most commonly in the spring a...', meta: {'name': 'Geography_of_the_United_States', 'source_id': '6eef5e1e8e3a1d489b23e0304d3cc9472b84a44871b2fd5ecfc8ab3f12e8ccf0', 'page_number': 1}, score: 182.51279558274814)]",1.0,0.6455833315849304,1.0,1.0,1.0
What is the ability to recognize and adapt to new specific pathogens called?,Adaptive (or acquired) immunity,Antigen specificity,"[Document(id=a4a5008fab761323a2771c50538a7e75c9cf4ed6426bbef3a6ae08b7edd123e4, content: ' The adaptive immune response is antigen-specific and requires the recognition of specific ""non-self...', meta: {'name': 'Immune_system', 'source_id': 'fcb8c5092b2596a66d4f96587d653cbabda606874d86632c35ec40ef8f023051', 'page_number': 1}, score: 159.91248406200884)]",1.0,0.2857634425163269,1.0,1.0,1.0
Who allegedly hit a home run to the Center?,Babe Ruth,Babe Ruth,"[Document(id=bde5f6c2b4913151f9e46d6578f4f20345ade116f2e96b5ae76ef509e1e517dd, content: ' Because of the tie the Giants and Cubs ended up tied for first place. The Giants lost the ensuing o...', meta: {'name': 'Chicago_Cubs', 'source_id': '10bd5330115a2fe2b9ef60d21abe3942769709161783409af0c4444ccac129c3', 'page_number': 1}, score: 164.45063393002806)]",1.0,1.0,1.0,1.0,1.0
Which type of graduate from Imperial earned the second highest average starting salary after graduation?,Computing graduates,3.36,"[Document(id=8190e2f3cfba3c67fc319c1eba30ec986d8174be2decff7ed0bb12a364fb52bb, content: '
The College's endowment is sub-divided into three distinct portfolios: (i) Unitised Scheme – a unit...', meta: {'name': 'Imperial_College_London', 'source_id': '8ff02d910ce681fdd72074b13ed322271625386966ee827dabf1c93ca556fd6e', 'page_number': 1}, score: 140.20154888024658)]",1.0,-0.009853528812527657,1.0,1.0,1.0
In what year did Eisenhower propose his second civil rights act?,1960,1955,"[Document(id=0d88cb30320f0b038a71e1d9aa43a891187ded88e8298726341208761ff3f32a, content: ' Congress agreed to his request in 1955 for the Formosa Resolution, which obliged the U.S. to milita...', meta: {'name': 'Dwight_D._Eisenhower', 'source_id': '859016dbddc09f1f2a8921e109d7fed820d1b8f064a73fa80275cba10849cb55', 'page_number': 1}, score: 185.40736255863564)]",1.0,0.6117545962333679,1.0,1.0,1.0
What is the current height limitation in Paris in central areas?,50 m,"2,300 km2","[Document(id=b1a257cabbb0177c72b7e21764d67b5fde052b256f5fa1b3a533adabf91c13c0, content: ' Overall, the city is relatively flat, and the lowest point is 35 m (115 ft) above sea level. Paris ...', meta: {'name': 'Paris', 'source_id': '52b8f3ebbfb9baf9226768b89151b597c215bb08f28021147d2d798f707976c9', 'page_number': 1}, score: 183.58814741162405)]",1.0,0.39352455735206604,1.0,1.0,1.0
Income level was found to have a signification correlation to which outcome in the study?,nutrition literacy,lower level of economic growth,"[Document(id=fde899a9d8a603c5a1a9d80bde11c5e7902d2c542c8d9a1485111d5c6b381bbd, content: ' This process, known to economists as rent-seeking, brings income not from creation of wealth but fr...', meta: {'name': 'Economic_inequality', 'source_id': '648ff32b8c146c974b23e115e3a61420b1cdbea9de1f5bf38442ce4c1d9caa42', 'page_number': 1}, score: 89.0235141824955)]",0.0,0.05020417273044586,0.0,0.0,0.0
How much did Viacom want in damages in their lawsuit against youtube?,$1 billion,$1 billion,"[Document(id=56ff4bdb4f543c61c1f516ba1e544e83e117ab5512bae58b2264fa6b6d86f26b, content: ' Three successful complaints for copyright infringement against a user account will result in the ac...', meta: {'name': 'YouTube', 'source_id': '4d18798daeceb997a6dcb04b575dbbdad768671ca9202116370611d944d510be', 'page_number': 1}, score: 173.34560648176648)]",1.0,0.9999998807907104,1.0,1.0,1.0
Who should be able to challenge administrative orders in court?,individuals,individuals,"[Document(id=5c5f6a0591170904a56f4c0417e667089761d8d8f013f55283aff164fdadd75b, content: ' Dicey's: “no man is punishable or can be lawfully made to suffer in body or goods except for a dist...', meta: {'name': 'Rule_of_law', 'source_id': '58b9477525cf8e214cd9a236fe22cc9bfe5e78fda6e2b41433bdb3e30f99d3d2', 'page_number': 1}, score: 116.19394976028495)]",1.0,1.0000001192092896,1.0,1.0,1.0
The Slavs were under what name in the early 6th century?,the Antes and the Sclaveni,Veneti,"[Document(id=4236cbbf71506fe35f0da033ea9b465edf3cfbfdd8e6bac2b259b18835cc0408, content: '
The relationship between the Slavs and a tribe called the Veneti east of the River Vistula in the R...', meta: {'name': 'Slavs', 'source_id': 'a55731ff3cd03d8fe34d4e646dbfcdc2088f01190e5110c9ff0baf4e4b486847', 'page_number': 1}, score: 210.39712772144958)]",1.0,0.36141833662986755,1.0,1.0,1.0
How are the results simplified when using the SASO?,"into four summaries that look specifically at responses that correspond to either homosexuality, heterosexuality, bisexuality or asexuality.",when each pivoting divides the list in half,"[Document(id=e8683d0ee8010f97dee653f8386c791c980c6a9d74b90ebf2539aa0cd57f763c, content: ' If we assume that all possible permutations of the input list are equally likely, the average time ...', meta: {'name': 'Computational_complexity_theory', 'source_id': '3e0d0d92095b10b4cb42da481613cced2291ffa7365347553c276089ba6e764a', 'page_number': 1}, score: 83.67976359207012)]",0.0,0.11146857589483261,0.0,0.0,0.0
What socioeconomic class used the Florentine Tuscan language in Dante's time?,upper class,literate and upper class,"[Document(id=149c6390292392d4438c9191dca43bbe827c20a86bb7bfc502679813d7fcc108, content: ' Due to Eastern Lombard's status as a Gallo-Italic language, an Eastern Lombard speaker may, in fact...', meta: {'name': 'Dialect', 'source_id': '2e05b686e48c9512ae5466f1d15202b44fdc903ea32d0a42c5dbc9ef173d051d', 'page_number': 1}, score: 177.45530984259983)]",1.0,0.8130882978439331,1.0,1.0,1.0
"In addition to ammo proposals, what other need was articulated?",The need for some form of tracer or smoke trail,to explode in the air,"[Document(id=4e21aed2e6d5a2193f1991660032d4445fa58d39e44d263ec7754bf0c98869ec, content: ' These batteries, particularly with guns, usually deploy in a small area, although batteries may be ...', meta: {'name': 'Anti-aircraft_warfare', 'source_id': 'c54639424f62ce369356ed8c4e1e9fab8769359dd28029aa89832f5aa994f45d', 'page_number': 1}, score: 81.70938919778587)]",1.0,0.06160792335867882,1.0,1.0,1.0
What is that power that enables us to love?,Prevenient grace,Long-term relationships allow adolescents to gain the skills necessary for high-quality relationships later in life and develop feelings of self-worth,"[Document(id=9df0e87f01c1b2c8ac7969d77fe5940944b4885a75655d3b107fbb3e960b582b, content: '0 for males and 17.3 for females. The typical duration of relationships increases throughout the tee...', meta: {'name': 'Adolescence', 'source_id': '4687b887b5783807c17e352eca017193687de7d3428929359d466eaed34ebbe4', 'page_number': 1}, score: 99.769775039754)]",0.0,0.00461157038807869,0.0,0.0,0.0
"Who was assassinated on September 22, 189 AD?",He Jin,He Jin,"[Document(id=1023d346fa09f68f024520eed11ceb8d146eebd929e4d93e19ec61ae32461e57, content: ' 189 AD), half-brother to Empress He (d. 189 AD), plotted with Yuan Shao (d. 202 AD) to overthrow th...', meta: {'name': 'Han_dynasty', 'source_id': '060d95b91f9c20e5c8cd8b8a032ab44aac38ab88ce62d3c302bea0865f533568', 'page_number': 1}, score: 149.4057899599862)]",1.0,1.0,1.0,1.0,1.0
How did Gaddafi change the legal system?,he introduced sharia as the basis for the legal system,introduced sharia,"[Document(id=e2a95241acaa96c9b3665ffd83614f229b121a721d01ae7e3a778b2ce1d5050d, content: ' Intent on pushing Libya towards ""Islamic socialism"", he introduced sharia as the basis for the lega...', meta: {'name': 'Muammar_Gaddafi', 'source_id': '8152b4f6f236e7f6841b777d688aa105c66dbcee3fe926720311ce23eed0a380', 'page_number': 1}, score: 208.30154430383593)]",1.0,0.6521134972572327,1.0,1.0,1.0
What name was it assumed Elizabeth would take upon her marriage to Philip?,"Mountbatten,",Peter Townsend,"[Document(id=4b69cd784f30edcd0bcf343e88529300a3f5f46cab6549e05e32a9f6208375df, content: '
Elizabeth and Philip were married on 20 November 1947 at Westminster Abbey. They received 2500 wedd...', meta: {'name': 'Elizabeth_II', 'source_id': '701ad172dfcc8791d990bf596fe61055a5548b2e1847cd32a5d9c011ed8a1ed8', 'page_number': 1}, score: 208.66892736307855)]",1.0,0.19164665043354034,1.0,1.0,1.0
What was the attack on the British weakness?,Battle of Fort Bull,sea communications,"[Document(id=2982b60b277d226d31c0a9fe90582fab11b0c6ff0f2e5a54d4e342474fbc3795, content: '
In 1941, the Luftwaffe shifted strategy again. Erich Raeder—commander-in-chief of the Kriegsmarine—...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 149.98474112003294)]",0.0,-0.1473047137260437,0.0,0.0,0.0
How much of South Tucson is Native American?,10%,10%,"[Document(id=e834bcf1ef63c7b72f9bf36d447e483da5003c1c77f033ef064e514b7082f587, content: ' To the south, N. Highland Avenue leads to the Barraza-Aviation Parkway bicycle path.
South Tucson i...', meta: {'name': 'Tucson,_Arizona', 'source_id': '1cd8368afbbb7156e4d37c16c9795a1cf7209fbd0036331b6759337ae62d7224', 'page_number': 1}, score: 197.57082115721136)]",1.0,0.9999998807907104,1.0,1.0,1.0
Whose theory claimed that species were unchanging and designed by God?,John Ray,William Paley,"[Document(id=ff5e838b8a7222ff21358b50a0b3729b6239d2d61bd80a57e62cd9d0ea6d30db, content: ' Lamarck thought there was an inherent progressive tendency driving organisms continuously towards g...', meta: {'name': 'On_the_Origin_of_Species', 'source_id': 'adac4711b7d224abae00474e53083755e6a0b31beb5aef768574d738fabcf0e6', 'page_number': 1}, score: 168.91207509332548)]",1.0,0.23203226923942566,1.0,1.0,1.0
Who can restore a database that has been corrupted?,database administrator,Database transactions,"[Document(id=5baf5b500fc870a57b1f1a3f45f13e9b554e1d91359189ce3677cff042e60b2d, content: ' Data security prevents unauthorized users from viewing or updating the database. Using passwords, u...', meta: {'name': 'Database', 'source_id': '98b09743ece9be42ad021f0dc6ffab08c322e7eeace6aae0b98b4bbf67224bd3', 'page_number': 1}, score: 86.92723770233755)]",1.0,0.4896238446235657,1.0,1.0,1.0
What unpopular philosopher's text did Avicenna learn from?,Abu Abdullah Nateli,Abu Abdullah Nateli,"[Document(id=cbebf9a70685ea0e72bcf8c9f1dbbe9b7163ee26279b633446edf34314600fb3, content: ' Janssens demonstrated that Avicenna was a Sunni Hanafi. However, the 14th cenutry Shia faqih Nurull...', meta: {'name': 'Avicenna', 'source_id': '25cbb1011a29473e1dfa8d96ebe95bc8ead7393548de57e871f959624f7238f1', 'page_number': 1}, score: 181.94319586501797)]",1.0,1.0000001192092896,1.0,1.0,1.0
What was the event called that caused  Ayutthaya  to reclaim lost territories ?,the Chinese threat,Ayutthaya recovered its territories by 1770,"[Document(id=f08f17188f751088b2b76f2c1a69ffc86f340979f05ea84b4b201def163ec6f3, content: ' Its trade and secular administrative reforms built a prosperous economy for more than 80 years. Fro...', meta: {'name': 'Myanmar', 'source_id': '3d5d8c2f0b407573851f7793034e3f28664c9739d422faaf23da089d3bb275b3', 'page_number': 1}, score: 158.17672599242826)]",1.0,0.08274449408054352,1.0,1.0,1.0
"Before the introduction of the Latin alphabet, how was Old English written?",runic system,the scholarly and diplomatic lingua franca of Western Europe,"[Document(id=d806131552e88e82e2690be85e2fbf31773e47614f5d7a8efdc4ab729427ca2b, content: 'Old English (Ænglisc, Anglisc, Englisc) or Anglo-Saxon is the earliest historical form of the Englis...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 161.545426839566)]",1.0,-0.028287040069699287,1.0,1.0,1.0
"When groups that are antagonistic to each other form a coalition for hidden gain, it is called what?",unholy alliance,unholy alliance,"[Document(id=c54ac19342651f97c105c4825d0b82cbf05684cf1d7c4921e0d078a7212b4a21, content: ' A common type of embezzlement is that of personal use of entrusted government resources; for exampl...', meta: {'name': 'Political_corruption', 'source_id': 'e7c84fb03cb06b72c4ab51eb24218e9f2a10b95493e43d575342db0ffa3e9e1d', 'page_number': 1}, score: 113.39244671567084)]",1.0,1.0,1.0,1.0,1.0
What made a strong economic case for investing in low carbon technologies?,Stern Review,Clean Edge,"[Document(id=639620812442614c676be21cf936d052650009771bc4d08df98e8056e4441e38, content: '
New government spending, regulation, and policies helped the industry weather the 2009 economic cri...', meta: {'name': 'Renewable_energy_commercialization', 'source_id': 'fa5f7904b8df5272f4f870ed401f610435c916171c87b47deed9a45e6bd594ea', 'page_number': 1}, score: 114.57287042595362)]",1.0,0.03996779024600983,1.0,1.0,1.0
"Who introduced the Latin version of the word ""insect""?",Pliny the Elder,Pliny the Elder,"[Document(id=de63707a025645c7fcc7a26e6dd37ddd29a27cd60ff187ce487e0d07217708ee, content: '
The word ""insect"" comes from the Latin word insectum, meaning ""with a notched or divided body"", or ...', meta: {'name': 'Insect', 'source_id': 'e14215fdfb7e1394430dedb24549d773464f110b7f19b86558bc101f84126630', 'page_number': 1}, score: 184.29502006117178)]",1.0,0.9999999403953552,1.0,1.0,1.0
What was started by the Roman Catholic Church to dispense of the Cathars in Languedoc?,The Cathar Crusade,St. Bartholomew's Day Massacre,"[Document(id=ef77c93614a70f002eb708dc8d224c0fe860d179e7bc703f697f95e92761e545, content: ' The Gallicans briefly achieved independence for the French church, on the principle that the religi...', meta: {'name': 'Huguenot', 'source_id': '8c6e1ef6132295dfe82bead80d85963191a790434a85ac498376747f1b1241c7', 'page_number': 1}, score: 138.33324791635357)]",0.0,0.2595777213573456,0.0,0.0,0.0
What music service is a huge competitor for Tidal?,Spotify,Spotify,"[Document(id=f0c6a5cd5408a0fc01c220e5910c03a2241fbe85099410f518592c1fb7098441, content: ' ""Creating a partnership with Beyoncé, one of the most hard-working and talented people in the world...', meta: {'name': 'Beyoncé', 'source_id': 'df5e2ca169dc6cf68bbfa81e78478ec035f276c65d7f24df15ba60a18401232b', 'page_number': 1}, score: 122.76790646829441)]",0.0,1.0000001192092896,0.0,0.0,0.0
How much was each copper token worth?,a halfpenny,"15,000 t","[Document(id=7350dde4c1db287bcdc1678d351d984bcefbfbb76ea61772d6ec37583745c8f4, content: ' Julius Caesar had his own coins made from brass, while Octavianus Augustus Caesar's coins were made...', meta: {'name': 'Copper', 'source_id': 'de5c60a665b93f9b358be412d53a37ca43d90005e3ec9a553ac38a38f076fadc', 'page_number': 1}, score: 127.28424664644346)]",0.0,0.1019832119345665,0.0,0.0,0.0
What ships were attacked in 1852?,Glencoe and Sea Nymph,"1,436 people were killed and 1,792 seriously injured, which affected morale badly.","[Document(id=dc733dafa156c8cd33c8bfe0b3a7341d74398730f0f97dd80f1c0b07d6a07ef7, content: '
In the north, substantial efforts were made against Newcastle-upon-Tyne and Sunderland, which were ...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 160.31924929990572)]",0.0,0.06491856276988983,0.0,0.0,0.0
What was the first fossil to display both clearly traditional reptilian characteristics?,Archaeopteryx,Eomaia,"[Document(id=deb49612ed6c7dff5f1ffa19a9e6cc731756e662202cde46400d79672a69618a, content: ' In the early Triassic, all the medium to large land carnivore niches were taken over by archosaurs ...', meta: {'name': 'Mammal', 'source_id': 'ce12abe98969c8fca9c93088950b36e820ec47c4c63f339bc203185f79f0242d', 'page_number': 1}, score: 169.29409728513733)]",0.0,0.19462870061397552,0.0,0.0,0.0
What are the theories that integrate molecular genetics with Darwinian evolution called?,the modern evolutionary synthesis,Natural theology,"[Document(id=84267fbb9a5549e7b04e7c50127070dbac174697c575d4780cb3ee14b8679af7, content: ' It was thought that the rediscovery of Mendelian inheritance invalidated Darwin's views.
While some...', meta: {'name': 'On_the_Origin_of_Species', 'source_id': 'adac4711b7d224abae00474e53083755e6a0b31beb5aef768574d738fabcf0e6', 'page_number': 1}, score: 168.31304934894283)]",0.0,0.3708055913448334,0.0,0.0,0.0
At what time did Tesla get dinner?,8:10 p.m,8:10 p.m,"[Document(id=2ed21a855190ee9369cd4351878edc528d570a2136e3a2612158d6108a59491e, content: ' until 6:00 p.m. or later, with dinner from exactly 8:10 p.m., at Delmonico's restaurant and later t...', meta: {'name': 'Nikola_Tesla', 'source_id': 'ceea6a1645d15ba7fe20b687be69cd66b3781b3889ef8a0693edc64967068a28', 'page_number': 1}, score: 230.03812342004315)]",1.0,1.0000001192092896,1.0,1.0,1.0
In what year did the French reach Alsace?,1444,1789,"[Document(id=93996e15e538ef99cbc1f14e3a6eca7f547c782d02004cfe4d90863b09e3c9ba, content: ' When hostilities were concluded in 1648 with the Treaty of Westphalia, most of Alsace was recognize...', meta: {'name': 'Alsace', 'source_id': '1105499d303196fb0b7ae4d26209720b0040e63376f114d458fd77f05836cbd4', 'page_number': 1}, score: 192.92581302092802)]",1.0,0.4256799817085266,1.0,1.0,1.0
Who was responsible for the handling of the Roman census?,two censors,augurs,"[Document(id=a5e5aea2af0395511da534b5312305295571fb6c4dadbbf94b18f8c15af3add7, content: 'The priesthoods of public religion were held by members of the elite classes. There was no principle...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 160.02474930212503)]",0.0,0.12105397880077362,0.0,0.0,0.0
When was a resolution agreed to about Chinese human rights issues in San Francisco?,"April 1, 2008","April 1, 2008","[Document(id=d16248de2a5e0d9e6bbb7e85b411bf0a4143206e20471ecab73dc7158ce992b1, content: ' The cost to the city for hosting the event was reported to be USD $726,400, nearly half of which ha...', meta: {'name': '2008_Summer_Olympics_torch_relay', 'source_id': 'a45e6ea09a1ff12d8a239a682c8ef3735ae894d5ab6427b50909053bb046e8b5', 'page_number': 1}, score: 123.16570921986224)]",1.0,0.9999999403953552,1.0,1.0,1.0
Who was the last pope to be crowned?,Paul VI,"Pius XI. He was sent a letter by Cardinal Eugenio Pacelli, and Roncalli later recalled that it was probably the last letter Pacelli sent until his election as Pope Pius XII","[Document(id=f60e9480f17445bd20fd691b4f23689feab6068d6b9b8032e2bc85a59563b9cf, content: ' Unaffected, he wrote to his sisters Ancilla and Maria and told them both that he was fine.
On 30 No...', meta: {'name': 'Pope_John_XXIII', 'source_id': '21b200b333306d54410b53cfd12e123951dabfc1f534196e5309132d00e8184d', 'page_number': 1}, score: 193.24640581111305)]",0.0,0.5919901132583618,0.0,0.0,0.0
Who handles serious medical emergencies on Norfolk Island?,the Royal Australian Air Force,Royal Australian Air Force,"[Document(id=c3327e32d8658307f8dca684bbdeb22895ca7a8d7ee8ad6ff0eba6200c5e6da2, content: ' All visitors to Norfolk Island, including Australians, are recommended to purchase travel insurance...', meta: {'name': 'Norfolk_Island', 'source_id': '8be872c9c3302a16163599d52ec60841ddff13042f8e8e2e0aa14de2c192e2ee', 'page_number': 1}, score: 140.52734237020536)]",1.0,0.9777635335922241,1.0,1.0,1.0
Were Roman soldiers expected to purchase their own equipment?,"wealthiest citizens, who were able to purchase the best equipment",the Roman state was forced to arm its soldiers at the expense of the state,"[Document(id=3f0396346c47d3ea53931dd05016eb360d6261c1b5ab0c7a977a5bbf0df1be01, content: ' As a result, the Roman state was forced to arm its soldiers at the expense of the state, which it h...', meta: {'name': 'Roman_Republic', 'source_id': '3f4556109d2f785759587a7f8d52a5aa1b1abda3015c73990aa173f05a0d62c1', 'page_number': 1}, score: 162.14933838277432)]",1.0,0.14734730124473572,1.0,1.0,1.0
Who did Nasser's group try to assassinate?,Hussein Sirri Amer,Prime Minister Hussein Sirri Pasha,"[Document(id=2742e06ecc0f89cd4249a010992ea21b1098edf0e33e8bcef6fb1a43012b8d68, content: ' It was here that Nasser and his closest comrades, including Sadat and Amer, first discussed their d...', meta: {'name': 'Gamal_Abdel_Nasser', 'source_id': 'b85466a1645c50ee3517e05cdea8d4daa48f1870f244255ab389ead0fa0e44ed', 'page_number': 1}, score: 193.56057646704534)]",1.0,0.6850929260253906,1.0,1.0,1.0
