questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What seeks to limit the use of polysyllabic characters?,CPC,Unicode variation sequences,"[Document(id=2f36232b0dd91a653f6f2576055db49c5d19cd0f18bb852a417bdc59b99cc443, content: '
Modern font technology provides a means to address the practical issue of needing to depict a unifi...', meta: {'name': 'Unicode', 'source_id': '5466bae2d66ecdb546af3cc34795de9f594465bd49e997a8c32cca0dc3b5d1e2', 'page_number': 1}, score: 0.5992671777257355)]",0.0,0.111117884516716,0.0,0.0,0.0
In what courts can federal habeas corpus suits be brought?,federal,"appellate court finds that significant legal errors did occur, then it will reverse the judgment, or nullify the sentence and order a new capital sentencing hearing. Lastly, if the appellate court finds that no reasonable juror could find the defendant eligible for the death penalty, a rarity, then it will order the defendant acquitted, or not guilty, of the crime for which he/she was given the death penalty, and order him sentenced to the next most severe punishment for which the offense is eligible. About 60 percent survive the process of direct review intact.
Under the Antiterrorism and Effective Death Penalty Act of 1996, a state prisoner is ordinarily only allowed one suit for habeas corpus in federal court","[Document(id=7e0d5332e60a37e652cd2a51cc22044fd5e6ae3218102012d3b17416fb99fc7e, content: ' If the appellate court finds that significant legal errors did occur, then it will reverse the judg...', meta: {'name': 'Capital_punishment_in_the_United_States', 'source_id': '0a4e4dda32f7be6a4f78da5ed9ee21d2cc7659112c0d087b2923a482bdc77b5b', 'page_number': 1}, score: 0.6103408531822065)]",1.0,0.1905200332403183,1.0,1.0,1.0
What did Whitehead consider himself as a philosopher? ,rank amateur,rank amateur,"[Document(id=b0360cb0e79aa53fce9b6b987065d38127ef8c7392ded59d294e940b3fc8c15b, content: ' For Whitehead, education should be the exact opposite of the multidisciplinary, value-free school m...', meta: {'name': 'Alfred_North_Whitehead', 'source_id': '8117b81ebe7588c941510f73f8227e3b220b56755171cb0418fdd752bb385bda', 'page_number': 1}, score: 0.6416938602715427)]",1.0,1.0,1.0,1.0,1.0
What condition does a person have to meet to  be allowed by law on a coin?,deceased,legal tender,"[Document(id=709af185292b1734d0e4c8a237bf0723a76b5dde9eb9eea06b0165e2876d5768, content: 'S.C. § 5112. Section 5112 prescribes the forms, in which the United States dollars should be issued....', meta: {'name': 'United_States_dollar', 'source_id': '9ef37368424d1caed6a07c85856757a87fc5eb888868448328b70e21e5c46a4a', 'page_number': 1}, score: 0.412008492363103)]",1.0,0.1988927125930786,1.0,1.0,1.0
Which region of the US experiences rain year round?,Pacific Northwest,"Alice Springs, Australia","[Document(id=0b4d90ac104ee8adddd3d378559e19756efb7723596ad72e5f1c354c08d952a3, content: '7 mm) of precipitation per year, more than most other locations with desert climates, but it still q...', meta: {'name': 'Tucson,_Arizona', 'source_id': '1cd8368afbbb7156e4d37c16c9795a1cf7209fbd0036331b6759337ae62d7224', 'page_number': 1}, score: 0.628535110128569)]",0.0,0.36634862422943115,0.0,0.0,0.0
What is the ability to recognize and adapt to new specific pathogens called?,Adaptive (or acquired) immunity,Innate immune defenses,"[Document(id=a18e0058b343b5da0485ed348b299343056dca832078a909b95578e3a8fd7eb7, content: ' Conversely, non-self molecules are those recognized as foreign molecules. One class of non-self mol...', meta: {'name': 'Immune_system', 'source_id': 'fcb8c5092b2596a66d4f96587d653cbabda606874d86632c35ec40ef8f023051', 'page_number': 1}, score: 0.6306169395074717)]",1.0,0.6429639458656311,1.0,1.0,1.0
Who allegedly hit a home run to the Center?,Babe Ruth,Sam Snead,"[Document(id=6929c42ad466bed7c14eac422c4d021a4f3e192fc8b2852b17a71ac3d6c8106e, content: '
On May 11, 2000, Glenallen Hill, facing Brewers starter Steve Woodard, became the first, and thus f...', meta: {'name': 'Chicago_Cubs', 'source_id': '10bd5330115a2fe2b9ef60d21abe3942769709161783409af0c4444ccac129c3', 'page_number': 1}, score: 0.6338891136946663)]",1.0,0.30576199293136597,1.0,1.0,1.0
Which type of graduate from Imperial earned the second highest average starting salary after graduation?,Computing graduates,2011/12 – £765.2 million) and total expenditure of £754.,"[Document(id=38d36ddbfcff6c32f28791ecef866ff54adf64d946d9968ffab17a763c85d252, content: '
In the financial year ended 31 July 2013, Imperial had a total net income of £822.0 million (2011/1...', meta: {'name': 'Imperial_College_London', 'source_id': '8ff02d910ce681fdd72074b13ed322271625386966ee827dabf1c93ca556fd6e', 'page_number': 1}, score: 0.5416434087972107)]",1.0,0.11472521722316742,1.0,1.0,1.0
In what year did Eisenhower propose his second civil rights act?,1960,1957,"[Document(id=e20106e1401ce2522cd3d14d13fae9ea782170d84e4c3db914247513b098ce09, content: '.. a discrimination in the expenditure of those funds"".
Eisenhower told District of Columbia officia...', meta: {'name': 'Dwight_D._Eisenhower', 'source_id': '859016dbddc09f1f2a8921e109d7fed820d1b8f064a73fa80275cba10849cb55', 'page_number': 1}, score: 0.6884836139820915)]",1.0,0.703947901725769,1.0,1.0,1.0
What is the current height limitation in Paris in central areas?,50 m,50 m (160 ft),"[Document(id=d89cdeedbc8441f4e2c52a3575e8c530fcce225561404b37c7cdd108d1cc549f, content: ' Modern Paris owes much to its late 19th century Second Empire remodelling by the Baron Haussmann: m...', meta: {'name': 'Paris', 'source_id': '52b8f3ebbfb9baf9226768b89151b597c215bb08f28021147d2d798f707976c9', 'page_number': 1}, score: 0.7343823718020364)]",1.0,0.8085941672325134,1.0,1.0,1.0
Income level was found to have a signification correlation to which outcome in the study?,nutrition literacy,lower levels of growth,"[Document(id=e62fe349ee4e73a3572e9f63b19d92af4d05f2e4ba5ba37814049ed91dfeb15b, content: '""
In 1993, Galor and Zeira showed that inequality in the presence of credit market imperfections has...', meta: {'name': 'Economic_inequality', 'source_id': '648ff32b8c146c974b23e115e3a61420b1cdbea9de1f5bf38442ce4c1d9caa42', 'page_number': 1}, score: 0.47991741337458843)]",0.0,0.13175535202026367,0.0,0.0,0.0
How much did Viacom want in damages in their lawsuit against youtube?,$1 billion,$1 billion,"[Document(id=720eb3795a623e31335108bcc29a4b774e33272bb625d5968983846dd3b35f68, content: ' Three successful complaints for copyright infringement against a user account will result in the ac...', meta: {'name': 'YouTube', 'source_id': '4d18798daeceb997a6dcb04b575dbbdad768671ca9202116370611d944d510be', 'page_number': 1}, score: 0.7553394085608023)]",1.0,1.0000001192092896,1.0,1.0,1.0
Who should be able to challenge administrative orders in court?,individuals,individuals,"[Document(id=cf59c0f0619e715b979051e0a84530bf73463713fa11f2961866d233ac2537f5, content: ' Dicey's: “no man is punishable or can be lawfully made to suffer in body or goods except for a dist...', meta: {'name': 'Rule_of_law', 'source_id': '58b9477525cf8e214cd9a236fe22cc9bfe5e78fda6e2b41433bdb3e30f99d3d2', 'page_number': 1}, score: 0.6532529240278193)]",1.0,1.0,1.0,1.0,1.0
The Slavs were under what name in the early 6th century?,the Antes and the Sclaveni,East Slavs,"[Document(id=701344efe2101165a535fe45e922b01123011116f4f123fcd5b1668edbb29898, content: 'Slavs are the largest Indo-European ethno-linguistic group in Europe. They inhabit Central Europe, E...', meta: {'name': 'Slavs', 'source_id': 'a55731ff3cd03d8fe34d4e646dbfcdc2088f01190e5110c9ff0baf4e4b486847', 'page_number': 1}, score: 0.6309663423432798)]",1.0,0.3395293653011322,1.0,1.0,1.0
How are the results simplified when using the SASO?,"into four summaries that look specifically at responses that correspond to either homosexuality, heterosexuality, bisexuality or asexuality.",four summaries,"[Document(id=f86f4f0c6b96ee3b686893cc41683ca450066b225884d3390504ef3124153018, content: '
The SASO consists of 12 questions. Six of these questions assess sexual attraction, four assess sex...', meta: {'name': 'Sexual_orientation', 'source_id': 'f94279650936a403aa3d2b43ab1ad42b1fd14d05455aa86fbcda6cda978ffe5c', 'page_number': 1}, score: 0.5156582100443352)]",1.0,0.5629022717475891,1.0,1.0,1.0
What socioeconomic class used the Florentine Tuscan language in Dante's time?,upper class,ten per cent of males and one per cent of females,"[Document(id=f29c459c3fb02992508251c17df638d0a61defd503ac62e20104f9a0c0cdd29f, content: ' Lay literacy rates rose, but were still low; one estimate gave a literacy rate of ten per cent of m...', meta: {'name': 'Middle_Ages', 'source_id': 'f13b345e20c54b6cc55363080d7492474df62715717172aa9f1029f286010ad9', 'page_number': 1}, score: 0.6150936116081785)]",0.0,0.12186141312122345,0.0,0.0,0.0
"In addition to ammo proposals, what other need was articulated?",The need for some form of tracer or smoke trail,smaller-calibre ordnance,"[Document(id=0578917295f43992a211ded11b78bf62d55a950a27b45fde24ab1eabb2df79e0, content: ' Their needs could cogently be met with smaller-calibre ordnance beyond using the usual singly-mount...', meta: {'name': 'Anti-aircraft_warfare', 'source_id': 'c54639424f62ce369356ed8c4e1e9fab8769359dd28029aa89832f5aa994f45d', 'page_number': 1}, score: 0.4206405801057249)]",1.0,0.10714080184698105,1.0,1.0,1.0
What is that power that enables us to love?,Prevenient grace,universal love,"[Document(id=a78f83359689c5324d38fe66319b2e022231f3eea49709cfa6adc4ff161463f3, content: ' Love led to spiritual growth that, in turn, reflected an increase in love for God and humanity. Thi...', meta: {'name': 'Dominican_Order', 'source_id': 'f55ba4e5b37c737e23256c74229a0bf3a5c697b70e171c6ce20c437d900b023e', 'page_number': 1}, score: 0.4322410896201257)]",0.0,0.33382272720336914,0.0,0.0,0.0
"Who was assassinated on September 22, 189 AD?",He Jin,Caesar,"[Document(id=9251dafda92232db54143d3e1f9a589eeb4b79fd5873fc0b101379c7cfe3f5ba, content: ' Thus, the assemblies became powerless and were unable to oppose him.
Caesar was assassinated on Mar...', meta: {'name': 'Roman_Republic', 'source_id': '3f4556109d2f785759587a7f8d52a5aa1b1abda3015c73990aa173f05a0d62c1', 'page_number': 1}, score: 0.4975724389201519)]",0.0,0.25281232595443726,0.0,0.0,0.0
How did Gaddafi change the legal system?,he introduced sharia as the basis for the legal system,Ruling by decree,"[Document(id=97f0d038336472957d283c2ff0f1232ffef408a6928653afaced89770ed6145b, content: ' Initially ideologically committed to Arab nationalism and Arab socialism, he came to rule according...', meta: {'name': 'Muammar_Gaddafi', 'source_id': '8152b4f6f236e7f6841b777d688aa105c66dbcee3fe926720311ce23eed0a380', 'page_number': 1}, score: 0.5929539864336693)]",1.0,0.2979413568973541,1.0,1.0,1.0
What name was it assumed Elizabeth would take upon her marriage to Philip?,"Mountbatten,",heir presumptive,"[Document(id=d84cede505487aab2b7f8ca81ca6dc2ec7e647562d9fcef338a4a7bc8b2c2e2b, content: ' She was educated privately at home. Her father acceded to the throne on the abdication of his broth...', meta: {'name': 'Elizabeth_II', 'source_id': '701ad172dfcc8791d990bf596fe61055a5548b2e1847cd32a5d9c011ed8a1ed8', 'page_number': 1}, score: 0.6316186438786011)]",1.0,0.16207502782344818,1.0,1.0,1.0
What was the attack on the British weakness?,Battle of Fort Bull,UN intervention and US pressure forced Britain into a humiliating withdrawal of its forces,"[Document(id=d09ab756c06e4e2126fc0655780e94923b99c11b88bd24e4b791726d7b43a296, content: ' Another of Eisenhower's concerns was the possibility of a wider war with the Soviet Union after it ...', meta: {'name': 'British_Empire', 'source_id': '8f673e96ef153333a8fc1d3855be60f5be1829316ed1fcb58dd8590fdb083946', 'page_number': 1}, score: 0.5456397414690248)]",0.0,0.13994494080543518,0.0,0.0,0.0
How much of South Tucson is Native American?,10%,6%,"[Document(id=312f7d9ebeee95b77b19de18d1f6ec1dcd72b41992924c8312881afed5cd44da, content: '6% of the population. Non-Hispanic Whites were 47.2% of the population in 2010, down from 72.8% in 1...', meta: {'name': 'Tucson,_Arizona', 'source_id': '1cd8368afbbb7156e4d37c16c9795a1cf7209fbd0036331b6759337ae62d7224', 'page_number': 1}, score: 0.5368159160243922)]",1.0,0.7885175943374634,1.0,1.0,1.0
Whose theory claimed that species were unchanging and designed by God?,John Ray,William Paley,"[Document(id=1de1b94fbb49d9d6bbc2cdcf71ef4f81cd3ec13b95fe79865c57979200ac9095, content: ' Lamarck thought there was an inherent progressive tendency driving organisms continuously towards g...', meta: {'name': 'On_the_Origin_of_Species', 'source_id': 'adac4711b7d224abae00474e53083755e6a0b31beb5aef768574d738fabcf0e6', 'page_number': 1}, score: 0.640773032968124)]",1.0,0.2994629740715027,1.0,1.0,1.0
Who can restore a database that has been corrupted?,database administrator,dedicated backup files,"[Document(id=d62f58c8737fe86268de0ebf0cb0ef4eae1f9ba5f33735f7cadb2e83beb9e377, content: 'g., cases when the database is found corrupted due to a software error, or if it has been updated wi...', meta: {'name': 'Database', 'source_id': '98b09743ece9be42ad021f0dc6ffab08c322e7eeace6aae0b98b4bbf67224bd3', 'page_number': 1}, score: 0.5250403765091296)]",1.0,0.12655818462371826,1.0,1.0,1.0
What unpopular philosopher's text did Avicenna learn from?,Abu Abdullah Nateli,Quran,"[Document(id=4929afcbf8a25329cc28344a59a6da0673a0b29592a46e295b09e09e3666b249, content: ' Avicenna's views on Islamic theology (and philosophy) were enormously influential, forming part of ...', meta: {'name': 'Avicenna', 'source_id': '25cbb1011a29473e1dfa8d96ebe95bc8ead7393548de57e871f959624f7238f1', 'page_number': 1}, score: 0.6661604057856159)]",1.0,0.34885287284851074,1.0,1.0,1.0
What was the event called that caused  Ayutthaya  to reclaim lost territories ?,the Chinese threat,Ayutthaya seized Tenasserim and Lan Na,"[Document(id=ca6db29fb81cf6a69632107c67ace9bdd1fdd8f61142978a0684c6cd6f540122, content: ' Ayutthaya seized Tenasserim and Lan Na, and Portuguese mercenaries established Portuguese rule at T...', meta: {'name': 'Myanmar', 'source_id': '3d5d8c2f0b407573851f7793034e3f28664c9739d422faaf23da089d3bb275b3', 'page_number': 1}, score: 0.584896008554856)]",1.0,0.15335537493228912,1.0,1.0,1.0
"Before the introduction of the Latin alphabet, how was Old English written?",runic system,runic system,"[Document(id=8825405ebdc1bb4daf623185ae693fe4f2cab9da4dcca330ccb2ab3f6b05d6e5, content: ' The modern cognates of original words have been used whenever practical to give a close approximati...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.7110396889326562)]",1.0,0.9999999403953552,1.0,1.0,1.0
"When groups that are antagonistic to each other form a coalition for hidden gain, it is called what?",unholy alliance,unholy alliance,"[Document(id=f1fa43fc9c1c5bd46b9f5455701bf99b0e98d4579816d755389bcc2dbba1bcda, content: ' This sum itself may be all or a portion of the difference between the actual (inflated) payment to ...', meta: {'name': 'Political_corruption', 'source_id': 'e7c84fb03cb06b72c4ab51eb24218e9f2a10b95493e43d575342db0ffa3e9e1d', 'page_number': 1}, score: 0.5088500802288218)]",1.0,1.0,1.0,1.0,1.0
What made a strong economic case for investing in low carbon technologies?,Stern Review,The energy from the sun,"[Document(id=6873b580ad3f15a0882d302e702bc9af713e66089c5a7f2aa10feabe24a0ebed, content: ' The energy from the sun could play a key role in de-carbonizing the global economy alongside improv...', meta: {'name': 'Solar_energy', 'source_id': '4b26f9c886129869a3884289e417d88e1bc8a531535e048a63701a7b1784a8c1', 'page_number': 1}, score: 0.5276195041168332)]",0.0,0.05508004128932953,0.0,0.0,0.0
"Who introduced the Latin version of the word ""insect""?",Pliny the Elder,Pliny the Elder,"[Document(id=e8da082f5022b804801ddb2778f16c32226f0ecb59f3ed7f8fcdae17653f162c, content: '
The word ""insect"" comes from the Latin word insectum, meaning ""with a notched or divided body"", or ...', meta: {'name': 'Insect', 'source_id': 'e14215fdfb7e1394430dedb24549d773464f110b7f19b86558bc101f84126630', 'page_number': 1}, score: 0.7250091339820998)]",1.0,0.9999998807907104,1.0,1.0,1.0
What was started by the Roman Catholic Church to dispense of the Cathars in Languedoc?,The Cathar Crusade,The Cathar Crusade,"[Document(id=08215551b881c7cefad5bb5baaaddc4d6f9a5802a709d61e32985651e2115c85, content: ' By the 11th century, more organised groups such as the Patarini, the Dulcinians, the Waldensians an...', meta: {'name': 'Heresy', 'source_id': '8ba473262f8508a9c99699bb09cd022993896ece1fed1463a9cf4bd7eb0c3e68', 'page_number': 1}, score: 0.5927295914277724)]",1.0,1.0,1.0,1.0,1.0
What music service is a huge competitor for Tidal?,Spotify,Aspiro,"[Document(id=ef9c78ac21a913a9aad74111f50f9247dd1e578b598b35e509b5dfb85cdd75a6, content: ' Contemporary critics have noted the consistent minimalistic aesthetic exhibited throughout DONDA cr...', meta: {'name': 'Kanye_West', 'source_id': '4693bb2ae0f5b7c5ed3788607bba35813f42eada13da446f4c397c0715d2dc91', 'page_number': 1}, score: 0.6148988469371888)]",1.0,0.20396557450294495,1.0,1.0,1.0
How much was each copper token worth?,a halfpenny,"1.505 g) in 1837 (16:1 ratio).[citation needed]
Technically, all these coins are still legal tender at face value","[Document(id=8cba8d045af2ea2d04789f21782201aca9ae1bf67c20440df2f6dabfdb2b03d1, content: '22 grains (1.505 g) in 1837 (16:1 ratio).[citation needed]
Technically, all these coins are still le...', meta: {'name': 'United_States_dollar', 'source_id': '9ef37368424d1caed6a07c85856757a87fc5eb888868448328b70e21e5c46a4a', 'page_number': 1}, score: 0.5695327514337405)]",0.0,0.1435888707637787,0.0,0.0,0.0
What ships were attacked in 1852?,Glencoe and Sea Nymph,Glencoe and Sea Nymph,"[Document(id=73cc59555437274633bfd424f9225eaa5b55cf814b3bbb82c89b0d9357a659f0, content: ' In 1852 the San Francisco-based ships Glencoe and Sea Nymph were attacked and everyone aboard excep...', meta: {'name': 'Marshall_Islands', 'source_id': '762a4f6095de127ded5441c7a17d1c9c38f731ac9cb1ffe8de30af6573be7edf', 'page_number': 1}, score: 0.5423896434650102)]",1.0,1.0,1.0,1.0,1.0
What was the first fossil to display both clearly traditional reptilian characteristics?,Archaeopteryx,Eomaia,"[Document(id=8d3062cc119ec09e8a2dc8ded8bcf02da6323a3a52f0e8768141cb6ca77e58c9, content: ' In the early Triassic, all the medium to large land carnivore niches were taken over by archosaurs ...', meta: {'name': 'Mammal', 'source_id': 'ce12abe98969c8fca9c93088950b36e820ec47c4c63f339bc203185f79f0242d', 'page_number': 1}, score: 0.5925301137060124)]",0.0,0.34817540645599365,0.0,0.0,0.0
What are the theories that integrate molecular genetics with Darwinian evolution called?,the modern evolutionary synthesis,the modern evolutionary synthesis,"[Document(id=54fb8e44f718e454d5f4aef7097036553aa91b829fc2ea08644a1f9fc17e50f5, content: '
The theories developed in the 1930s and 1940s to integrate molecular genetics with Darwinian evolut...', meta: {'name': 'Gene', 'source_id': 'aedb09488dc3b766bb8c9b41d942aeb0d62f6f6c6c92506004b72557882725cc', 'page_number': 1}, score: 0.6825508197600287)]",1.0,1.0000001192092896,1.0,1.0,1.0
At what time did Tesla get dinner?,8:10 p.m,eight o'clock,"[Document(id=5dfd5078daafbc2ef3695636e6d70b42db2abc79ac389c20eac0417969714c11, content: ' Tesla would telephone his dinner order to the headwaiter, who also could be the only one to serve h...', meta: {'name': 'Nikola_Tesla', 'source_id': 'ceea6a1645d15ba7fe20b687be69cd66b3781b3889ef8a0693edc64967068a28', 'page_number': 1}, score: 0.7299236291347593)]",1.0,0.5878220796585083,1.0,1.0,1.0
In what year did the French reach Alsace?,1444,1639,"[Document(id=60bf7d285d0a82adaf86beaea9d4016fab6e78f84863f7bc7c59437478198477, content: ' As a result, Alsace was transformed into a mosaic of Catholic and Protestant territories. On the ot...', meta: {'name': 'Alsace', 'source_id': '1105499d303196fb0b7ae4d26209720b0040e63376f114d458fd77f05836cbd4', 'page_number': 1}, score: 0.6624026315749729)]",1.0,0.5775867700576782,1.0,1.0,1.0
Who was responsible for the handling of the Roman census?,two censors,censors,"[Document(id=3749ef6e14ea9af3893cfd84917e3a39acc2212480fc846e5a9231414a5599e6, content: ' Praetors administered civil law and commanded provincial armies. Every five years, two censors were...', meta: {'name': 'Roman_Republic', 'source_id': '3f4556109d2f785759587a7f8d52a5aa1b1abda3015c73990aa173f05a0d62c1', 'page_number': 1}, score: 0.5462632729451639)]",1.0,0.8454219698905945,1.0,1.0,1.0
When was a resolution agreed to about Chinese human rights issues in San Francisco?,"April 1, 2008","April 1, 2008","[Document(id=80f5e2e80143434aa6d2d78a16f411f7f6ab4f8ffffbd29914ad0c75e8bf31da, content: ' The cost to the city for hosting the event was reported to be USD $726,400, nearly half of which ha...', meta: {'name': '2008_Summer_Olympics_torch_relay', 'source_id': 'a45e6ea09a1ff12d8a239a682c8ef3735ae894d5ab6427b50909053bb046e8b5', 'page_number': 1}, score: 0.5523669903863153)]",1.0,1.0,1.0,1.0,1.0
Who was the last pope to be crowned?,Paul VI,Angelo Giuseppe Roncalli,"[Document(id=d025eebf35da454623a00c5d71d009d27de02dc1bdc601d3e2b18ee0f2c3a436, content: 'Pope Saint John XXIII (Latin: Ioannes XXIII; Italian: Giovanni XXIII) born Angelo Giuseppe Roncalli,...', meta: {'name': 'Pope_John_XXIII', 'source_id': '21b200b333306d54410b53cfd12e123951dabfc1f534196e5309132d00e8184d', 'page_number': 1}, score: 0.5976698401557258)]",0.0,0.4155743420124054,0.0,0.0,0.0
Who handles serious medical emergencies on Norfolk Island?,the Royal Australian Air Force,Royal Australian Air Force,"[Document(id=c983e8f9fccac478cd7d895c53ca7636f4291c3a87693dd68246b03e75a4be42, content: ' All visitors to Norfolk Island, including Australians, are recommended to purchase travel insurance...', meta: {'name': 'Norfolk_Island', 'source_id': '8be872c9c3302a16163599d52ec60841ddff13042f8e8e2e0aa14de2c192e2ee', 'page_number': 1}, score: 0.6392372140463647)]",1.0,0.9866578578948975,1.0,1.0,1.0
Were Roman soldiers expected to purchase their own equipment?,"wealthiest citizens, who were able to purchase the best equipment","They were armed with a sword and a small shield, as well as several light javelins","[Document(id=33fcf4581f5ab78359aa184280cfd3d832482718892d7c7caea5758b15dcd90b, content: ' Their role in accompanying the army was primarily to supply any vacancies that might occur in the m...', meta: {'name': 'Roman_Republic', 'source_id': '3f4556109d2f785759587a7f8d52a5aa1b1abda3015c73990aa173f05a0d62c1', 'page_number': 1}, score: 0.5218022473891348)]",1.0,0.15637509524822235,1.0,1.0,1.0
Who did Nasser's group try to assassinate?,Hussein Sirri Amer,King Saud,"[Document(id=5d0ec0248e1b31849b4fcf2b6de857e2ffd286b834f600afc95bf4d1111c7ae6, content: '"" Nasser ordered a crackdown against Syrian communists, dismissing many of them from their governmen...', meta: {'name': 'Gamal_Abdel_Nasser', 'source_id': 'b85466a1645c50ee3517e05cdea8d4daa48f1870f244255ab389ead0fa0e44ed', 'page_number': 1}, score: 0.6098491907190069)]",1.0,0.3763999044895172,1.0,1.0,1.0
What was AJ Ayer an important member of?,Logical empiricism,Hashimites,"[Document(id=09958ca4e60acef434f0c74dd9cf33effb3e5660b7f27f5a045864b3147d4d6f, content: ' If he felt that a governor or a commander was becoming attracted to wealth, he had him removed from...', meta: {'name': 'Umayyad_Caliphate', 'source_id': '704c4038f63f9c5a686218060cb31639c0333dda34e87e804be75e5fec05ec53', 'page_number': 1}, score: 0.41455657660131334)]",0.0,0.18943406641483307,0.0,0.0,0.0
